house_num,week,year,n_points,pct_above,temp_threshold_mean,temp_threshold_median,temp_threshold_q25,temp_threshold_q75,solar_threshold_mean,solar_threshold_median,solar_threshold_q25,solar_threshold_q75
25,2,2008,2194,56.016408386508665,14.350203417412528,14.0,13.1,15.4,0.21878763222131814,0.19,0.08,0.34
26,2,2008,43,100.0,14.869767441860468,14.9,14.6,15.2,0.25860465116279074,0.27,0.185,0.35
27,2,2008,2794,73.29992841803865,15.393457031250001,15.2,14.1,16.225,0.30744140625000005,0.32,0.16,0.44
28,2,2008,2533,65.14015001973944,15.22030303030303,15.0,14.1,15.8,0.292569696969697,0.29,0.15,0.42
29,2,2008,2829,77.02368328031106,15.354933455713631,15.3,14.2,16.6,0.2776594768242313,0.27,0.14,0.39
30,2,2008,2484,77.29468599033817,15.686145833333335,15.5,14.6,16.8,0.28151041666666665,0.27,0.14,0.41
1,1,2009,2010,0.09950248756218905,14.5,14.5,14.5,14.5,0.27,0.27,0.26,0.27999999999999997
3,1,2009,2010,1.0945273631840797,13.313636363636364,13.3,13.3,13.4,0.1168181818181818,0.14,0.05,0.16
7,1,2009,835,27.18562874251497,15.229955947136563,15.7,14.4,16.1,0.1752863436123348,0.17,0.12,0.235
8,1,2009,1925,10.233766233766234,15.39289340101523,15.6,15.4,16.0,0.15218274111675126,0.16,0.1,0.2
9,1,2009,282,51.77304964539007,16.069178082191776,16.0,15.8,16.3,0.17417808219178085,0.15,0.1,0.265
11,1,2009,1080,26.851851851851855,16.224137931034484,16.3,16.1,16.5,0.12686206896551727,0.14,0.06,0.17
12,1,2009,1930,52.17616580310881,15.313803376365442,15.2,14.6,16.1,0.1569116186693148,0.15,0.1,0.21
13,1,2009,1260,13.730158730158731,16.22716763005781,16.2,16.0,16.5,0.16630057803468207,0.15,0.12,0.2
14,1,2009,1755,28.547008547008545,15.232135728542916,15.2,14.9,15.4,0.21097804391217562,0.2,0.15,0.26
15,1,2009,1669,29.059316956261235,15.5140206185567,15.5,15.0,16.0,0.18400000000000002,0.19,0.11,0.26
16,1,2009,2051,32.03315455875183,15.125570776255708,15.2,14.9,15.4,0.20928462709284626,0.2,0.16,0.26
17,1,2009,1960,19.591836734693878,15.648177083333332,15.7,15.2,16.1,0.19382812500000002,0.20500000000000002,0.12,0.27
18,1,2009,2160,54.72222222222223,16.050846023688663,16.1,15.7,16.6,0.1858967851099831,0.17,0.09,0.3
19,1,2009,2070,53.67149758454106,15.25004500450045,15.2,14.8,15.7,0.19654365436543655,0.2,0.13,0.25
20,1,2009,2062,59.35984481086324,15.129248366013073,15.1,14.7,15.6,0.214640522875817,0.22,0.15,0.28
21,1,2009,2010,1.0945273631840797,13.313636363636364,13.3,13.3,13.4,0.1168181818181818,0.14,0.05,0.16
22,1,2009,2084,27.01535508637236,16.110834813499114,16.0,15.8,16.4,0.1680106571936057,0.15,0.11,0.22
23,1,2009,2145,56.17715617715617,15.893858921161824,15.9,15.4,16.4,0.18169294605809128,0.18,0.1,0.25
24,1,2009,2129,68.90558947862846,15.623994546693934,15.8,15.1,16.3,0.16850034083162918,0.16,0.09,0.24
25,1,2009,2065,51.62227602905569,15.174202626641652,15.1,14.8,15.5,0.20433395872420262,0.21,0.16,0.25
26,1,2009,2241,77.82240071396697,16.916341743119265,16.9,16.2,17.5,0.20295298165137615,0.19,0.1,0.3
27,1,2009,2231,81.75705961452263,16.902850877192986,16.8,16.2,17.5,0.22083881578947367,0.22,0.13,0.32
28,1,2009,2116,64.03591682419659,17.02752767527675,16.9,16.2,17.7,0.2226568265682657,0.22,0.12,0.34
29,1,2009,2293,79.15394679459223,16.384462809917355,16.2,15.4,17.3,0.21520661157024795,0.21,0.12,0.32
30,1,2009,2285,67.96498905908096,15.780875724404378,15.9,14.7,17.0,0.229671603348358,0.22,0.15,0.32
2,2,2009,1545,6.925566343042071,13.577570093457945,13.6,13.4,13.7,0.07383177570093458,0.08,0.04,0.1
3,2,2009,1520,5.065789473684211,13.584415584415584,13.6,13.5,13.7,0.12220779220779224,0.11,0.1,0.14
4,2,2009,1560,15.128205128205128,14.369067796610171,14.350000000000001,14.0,14.6,0.13360169491525425,0.12,0.06,0.1925
5,2,2009,1535,0.13029315960912052,14.4,14.4,14.4,14.4,0.17,0.17,0.17,0.17
6,2,2009,1650,38.18181818181819,13.610952380952384,13.2,12.7,14.9,0.17847619047619048,0.18,0.12,0.25
7,2,2009,1714,33.72228704784131,12.019204152249136,11.9,11.7,12.6,0.17968858131487891,0.2,0.1,0.2675
9,2,2009,1681,17.846519928613922,14.175333333333334,13.0,12.6,16.125,0.17353333333333332,0.18,0.1,0.26
10,2,2009,1655,30.45317220543807,15.116666666666665,16.1,12.7,16.3,0.16732142857142857,0.16,0.11,0.25
11,2,2009,1924,30.3014553014553,14.575814751286451,15.0,13.5,15.7,0.18375643224699828,0.19,0.12,0.25
12,2,2009,1779,58.01011804384486,13.7593992248062,13.5,12.1,15.7,0.1912596899224806,0.19,0.12,0.28
13,2,2009,1764,3.9115646258503403,13.463768115942033,13.4,13.3,13.6,0.1889855072463768,0.19,0.14,0.23
14,2,2009,1873,28.350240256273356,15.378342749529189,15.4,15.0,15.7,0.23636534839924672,0.25,0.15,0.32
15,2,2009,2005,51.17206982543641,13.467836257309942,13.5,12.3,14.9,0.2071539961013645,0.21,0.14,0.28
16,2,2009,1863,47.235641438539986,15.144318181818182,15.2,14.6,15.7,0.23460227272727271,0.25,0.17,0.31
17,2,2009,1778,31.608548931383577,13.46032028469751,13.4,12.4,14.7,0.2206049822064057,0.23,0.17,0.28
18,2,2009,1907,56.63345568956476,16.316203703703703,16.45,15.7,16.9,0.20485185185185187,0.19,0.11,0.3
19,2,2009,1870,64.81283422459893,14.935313531353135,14.9,14.2,15.7,0.20327557755775577,0.19,0.13,0.29
20,2,2009,1872,63.46153846153846,14.921632996632997,15.0,14.3,15.4,0.19490740740740742,0.19,0.13,0.26
21,2,2009,1520,5.065789473684211,13.584415584415584,13.6,13.5,13.7,0.12220779220779224,0.11,0.1,0.14
22,2,2009,1918,45.25547445255474,16.062442396313365,16.1,15.6,16.6,0.20385944700460829,0.18,0.12,0.3
23,2,2009,1868,56.905781584582435,15.901881467544685,15.8,15.4,16.5,0.17268109125117592,0.15,0.09,0.25
24,2,2009,1904,76.83823529411765,15.940396445659605,15.9,15.3,16.8,0.1821189336978811,0.16,0.1,0.26
25,2,2009,1889,56.00847008999471,14.856143667296786,14.9,14.2,15.5,0.2297164461247637,0.24,0.15,0.31
26,2,2009,2276,69.37609841827768,14.933628879037368,15.0,13.6,16.2,0.2725205826472451,0.3,0.17,0.38
27,2,2009,2220,67.11711711711712,14.775302013422822,14.8,13.5,16.1,0.2933825503355705,0.32,0.19,0.4
28,2,2009,1935,50.49095607235142,15.202968270214942,15.0,13.9,16.7,0.29037871033776874,0.33,0.19,0.4
29,2,2009,2365,76.19450317124735,14.89433962264151,15.2,13.4,16.4,0.276992230854606,0.3,0.17250000000000001,0.4
30,2,2009,2188,65.35648994515539,15.399650349650349,15.6,14.225,16.9,0.2984685314685315,0.33,0.2,0.41
