Location,Period,Heavy (mean),Heavy (n),Moderate (mean),Moderate (n),Low (mean),Low (n),None (mean),None (n)
Living,Overall,60.68674093425493,16,71.3623663942063,4,69.05045915799397,8,60.00564687161869,12
Living,Day,59.75744641364345,16,70.50664131011851,4,67.7774572072566,8,58.97676422156954,12
Living,Night,61.529980002676666,16,71.93419990014314,4,69.51883223642672,8,60.924828754621565,12
Bedroom,Overall,61.14866534789026,16,75.86110350308499,4,71.36718661820932,8,68.51486078289805,12
Bedroom,Day,58.47965078536586,16,75.12813736844595,4,69.58290131456354,8,65.68012605156429,12
Bedroom,Night,63.206059439235815,16,76.34243702548757,4,71.85839257068028,8,70.84001153534815,12
