house_num,week,year,hours_above_18,pct_time_above_18,max_temp,mean_temp,median_temp,min_temp,std_temp,total_hours_monitored,daytime_hours_above_18,daytime_pct_above_18,daytime_mean_temp,daytime_max_temp,longest_period_above_18_hours,num_periods_above_18,avg_period_above_18_hours,approx_date
1,1,2008,6.966666666666667,5.042219541616405,20.6,13.396139927623643,13.2,9.8,2.131975448824955,138.16666666666666,6.966666666666667,14.71830985915493,15.181161971830987,20.6,1.8333333333333333,8,0.8375,2008-08-15
2,1,2008,1.2666666666666666,0.7568213503286199,18.2,13.91872137024497,13.9,9.3,1.7287460157845718,167.36666666666667,1.2666666666666666,1.978136387298282,14.863951067152525,18.2,0.8,5,0.22,2008-08-15
3,1,2008,11.0,6.631832797427653,21.3,12.441358520900321,12.1,5.8,3.1769285573604904,165.86666666666667,11.0,17.133956386292834,15.037227414330218,21.3,2.7333333333333334,21,0.49047619047619045,2008-08-15
4,1,2008,29.4,17.594254937163374,25.0,13.137103530819866,12.1,6.0,4.244809720787945,167.1,29.1,44.135490394337715,16.476061678463093,25.0,6.433333333333334,7,4.166666666666667,2008-08-15
5,1,2008,13.066666666666666,7.666731859964796,20.9,12.238607471151965,11.7,6.1,3.4402867530357386,170.43333333333334,13.066666666666666,18.59582542694497,15.095635673624288,20.9,2.8,14,,2008-08-15
6,1,2008,20.566666666666666,12.763756723210593,22.7,11.755916425320645,10.5,5.0,4.298354883580563,161.13333333333333,20.566666666666666,32.405462184873954,15.538865546218487,22.7,4.566666666666666,13,1.5487179487179488,2008-08-15
7,1,2008,0.9,0.5514705882352942,18.6,9.514981617647058,9.1,3.1,3.3398170085089935,163.2,0.9,1.36986301369863,12.326966007102993,18.6,0.5666666666666667,3,0.26666666666666666,2008-08-15
8,1,2008,0.0,0.0,17.3,9.286666666666667,8.4,3.8,3.2198686304457755,116.5,0.0,0.0,11.977535211267604,17.3,0.0,0,0.0,2008-08-15
9,1,2008,23.8,14.383561643835616,23.7,10.958843674456084,9.3,4.0,5.037259555840035,165.46666666666667,23.8,34.76144109055501,15.498928919182081,23.7,5.7,9,2.611111111111111,2008-08-15
10,1,2008,34.13333333333333,23.65988909426987,29.8,13.0010050831793,10.7,5.0,6.049687436472462,144.26666666666668,34.1,55.38711423930699,18.338521927449918,29.8,7.1,11,,2008-08-15
11,1,2008,37.1,22.92481977342945,27.7,13.714356333676621,12.5,4.8,4.816237030656205,161.83333333333334,36.46666666666667,52.85024154589372,17.141086956521736,27.7,7.9,10,3.6766666666666667,2008-08-15
12,1,2008,42.766666666666666,28.773267548777753,33.1,15.330096434178065,12.9,5.3,6.796455398215396,148.63333333333333,42.6,63.9319659829915,20.696698349174586,33.1,8.933333333333334,6,7.094444444444445,2008-08-15
13,1,2008,35.43333333333333,22.017398508699255,26.7,13.071064623032314,11.8,3.3,5.527822591925079,160.93333333333334,35.266666666666666,51.40913508260447,16.99723032069971,26.7,8.1,9,,2008-08-15
14,1,2008,27.833333333333332,17.061708214139763,25.4,13.596097261953412,12.4,7.2,3.859217706146435,163.13333333333333,27.2,38.23805060918463,16.27631208997188,25.4,8.566666666666666,6,4.605555555555555,2008-08-15
15,1,2008,41.9,30.869351669941057,34.6,15.725147347740668,13.2,6.0,6.539898425080001,135.73333333333332,40.86666666666667,71.82190978324546,21.197978910369066,34.6,9.833333333333334,5,8.346666666666668,2008-08-15
16,1,2008,46.2,28.814968814968818,32.5,14.711715176715177,12.7,4.3,6.559690929646884,160.33333333333334,43.63333333333333,61.6,19.466941176470588,32.5,10.333333333333334,8,5.741666666666666,2008-08-15
17,1,2008,45.733333333333334,28.364688856729376,32.6,14.38378126938185,12.2,3.7,6.642167351538524,161.23333333333332,43.766666666666666,60.871580899397316,19.191098748261474,32.6,9.3,13,,2008-08-15
18,1,2008,52.8,32.0,30.9,14.668303030303031,12.6,4.3,6.906945818127087,165.0,49.43333333333333,65.04385964912281,19.501951754385964,30.9,10.0,10,,2008-08-15
19,1,2008,52.3,32.653485952133195,37.8,15.11831425598335,12.1,2.6,8.926395854590265,160.16666666666666,50.3,70.48108360579168,22.23386268099019,37.8,9.666666666666666,7,7.438095238095238,2008-08-15
20,1,2008,48.233333333333334,34.67529355379823,36.8,16.165240833932423,13.6,4.3,8.125313190850898,139.1,46.86666666666667,74.74747474747475,22.804864433811805,36.8,9.7,9,,2008-08-15
21,1,2008,45.333333333333336,28.157349896480333,27.0,14.399679089026915,13.7,4.3,5.478723072296807,161.0,44.0,58.666666666666664,17.885755555555555,27.0,8.8,10,4.5,2008-08-15
22,1,2008,47.36666666666667,28.92915309446254,25.4,14.974745521172638,14.3,6.7,4.963826686953389,163.73333333333332,26.933333333333334,34.44160272804774,15.04079283887468,25.4,8.8,9,5.229629629629629,2008-08-15
