house_num,week,year,house_group,living_overall_pct,living_daytime_pct,living_daytime_hours,living_evening_pct,living_evening_hours,living_temp_diff_mean,living_humidity_diff_mean,living_warmer_pct,living_drier_pct,bedroom_overall_pct,bedroom_daytime_pct,bedroom_evening_pct,bedroom_temp_diff_mean,bedroom_humidity_diff_mean,bedroom_warmer_pct,bedroom_drier_pct,avg_solar,max_solar
1,1,2008,active,1.4618195806885939,5.352112676056338,47.333333333333336,0.0,125.96666666666667,-5.492881978452497,-0.5323189796446358,1.5002885170225042,58.338141950375075,1.788805539526832,6.549295774647887,0.0,-4.5089250734573945,-0.4423727214480595,1.9426812848624735,52.89478745912676,0.039666993143976495,0.36
2,1,2008,active,0.0,0.0,64.2,0.0,109.1,-3.725427546342436,-0.9740289459430647,0.0,89.45951144450855,0.0,0.0,0.0,-3.564950139609095,-1.291668403086926,0.0,92.46008847855357,0.04534023079984083,0.36
3,1,2008,active,0.0,0.0,64.2,0.0,109.1,-5.959015273311897,-0.9289583707149028,0.0,81.22715906905174,0.28851702250432776,0.778816199376947,0.0,-6.667538183279742,-0.9846880053830677,0.28851702250432776,76.72629351798422,0.05074155948553055,0.37
4,1,2008,active,2.308136180034622,6.066734074823053,65.93333333333334,0.0,107.36666666666666,-4.698075004987034,-1.1326574043209927,10.809771109828812,77.7264858626659,5.71263704558569,15.015166835187058,0.0,-3.6004109315778976,-1.4203222731510106,17.234083477591845,79.32294672052318,0.055533612607221235,0.37
6,1,2008,active,7.116753221773418,19.432773109243698,63.46666666666667,0.0,109.83333333333333,-2.995408564335954,-0.963728903235479,15.464512406231968,82.76591652240816,2.6543566070398152,7.247899159663866,0.0,-3.1497000413736034,-0.8527789487462849,15.560684747066745,77.89959607616849,0.05588746379809681,0.45
8,1,2008,active,3.2121561838815156,11.76056338028169,47.333333333333336,0.0,125.96666666666667,-5.670188841201717,-0.9467131760056361,9.34795152914022,52.52933256395461,4.462396614733603,16.338028169014084,0.0,-5.1711273247496425,-1.385772206725424,9.34795152914022,55.8376610886709,0.06292417739628041,0.42
9,1,2008,active,0.51933064050779,1.3145082765335931,68.46666666666667,0.0,104.83333333333333,-5.6967922627443075,-0.6576595823742216,11.656087709174841,68.30159646085787,0.2308136180034622,0.5842259006815969,0.0,-3.6405197421434328,-0.6027270381129123,20.927101365647243,63.39680707828429,0.06372884770346496,0.42
10,1,2008,active,0.19234468166955185,0.5414185165132648,61.56666666666667,0.0,111.73333333333333,-9.329061705569679,-3.409165841201942,3.943065974225813,76.53394883631468,5.3087132140796305,14.943151055766107,0.0,-5.035822550831793,-2.5600790383053145,17.580303904597038,70.93671859973072,0.06586780679454587,0.42
11,1,2008,active,7.38603577611079,18.55072463768116,69.0,0.0,104.3,-4.8503501544799175,-1.256261867904905,11.617618772840931,84.90094248894017,7.578380457780343,19.033816425120772,0.0,-3.950131822863028,-1.3314538433537284,15.829967301404116,81.01557991921523,0.06760041194644698,0.47
13,1,2008,active,6.366608963262166,15.84062196307094,68.6,0.1591849729385546,104.7,-2.8071789560894778,-0.9621711846077945,23.658395845354878,70.09040200038469,15.406809001731103,38.921282798833815,0.0,-2.908883595691798,-1.4157580559362426,24.043085208693977,80.01538757453358,0.07035211267605633,0.47
14,1,2008,active,2.3658395845354874,5.763823805060919,71.13333333333334,0.0,102.16666666666667,-3.8113302002451985,-1.882546053337379,6.020388536256973,89.20946335833814,13.367955376033851,32.33364573570759,0.1631321370309951,-2.4028340825500614,-1.4337567231860027,20.773225620311596,84.03539142142719,0.07722721700040867,0.47
15,1,2008,active,2.9236391613771877,8.904510837727006,56.9,0.0,116.4,-3.549840373280943,-1.2765625701692471,20.234660511636854,59.588382381227156,1.6156953260242353,4.92091388400703,0.0,-3.670331532416503,-0.9556790257753508,20.311598384304673,57.53029428736296,0.08355599214145383,0.47
18,1,2008,active,0.0,0.0,76.0,0.0,97.3,-3.19739393939394,0.559555234680002,26.639738411232926,50.028851702250435,6.674360453933449,13.464912280701755,1.3703323055841041,-2.5712525252525253,-1.4457312109234723,29.871129063281398,70.70590498172726,0.10026060606060606,0.59
19,1,2008,active,6.020388536256973,12.143858010275572,71.36666666666666,1.7331589274035317,101.93333333333334,-0.7868527390127061,-0.9376466839944162,33.08328524716291,63.78149644162339,5.962685131756107,11.489957963568425,2.092871157619359,-0.8419537596334098,-0.8531916339951108,33.67955376033853,63.06982111944605,0.09722557800458237,0.59
20,1,2008,active,0.634737449509521,1.7543859649122806,62.7,0.0,110.6,-1.583581373019683,-0.13674929496862503,27.00519330640508,52.817849586458934,0.0,0.0,0.0,-2.5576491732566504,-0.14359980356727275,24.543181381034813,52.20234660511637,0.10055208833413345,0.59
22,1,2008,active,16.6955183689171,12.702472293265131,78.2,19.978969505783386,95.1,-1.7521670061099799,-0.80109852656936,27.62069628774764,75.45681861896519,13.194845162531257,9.036658141517478,16.61409043112513,-1.4485440847077993,-0.6115647334555743,30.140411617618774,69.62877476437777,0.10439789516292247,0.6
24,1,2008,active,2.0003846893633392,4.58970792767733,71.9,0.1643655489809336,101.4,-1.8789924433249374,-0.32822743092314055,30.23658395845355,62.45431813810348,2.4620119253702635,5.006954102920723,0.6574621959237344,-1.3903275714895438,-0.3566292833288154,31.332948643969992,60.43469898057319,0.09793936824252703,0.6
26,1,2008,active,0.36545489517214846,5.177111716621254,12.233333333333333,0.0,161.06666666666666,-0.6353026134800553,-0.043187057451266074,4.827851509905751,9.405654933641085,0.3846893633391037,5.449591280653951,0.0,-0.179628610729024,-0.31159205886252556,5.077899596076168,9.290248124639353,0.11914718019257223,0.55
27,1,2008,active,9.886516637814964,19.096334185848253,78.2,2.3133543638275498,95.1,-0.5599037858188667,-1.2596016080946215,33.9488363146759,67.8976726293518,13.329486439699942,27.067348678601878,2.0329477742726954,-0.8644635013595484,-1.6444275917855957,33.621850355837665,71.66762839007501,0.1148671825977829,0.69
29,1,2008,active,5.539526832083093,11.435941530524506,77.53333333333333,0.7657500870170553,95.76666666666667,-0.6941235602094246,-1.0367847860696924,34.92979419119062,62.43508366993653,4.731679169070975,9.458297506448838,0.904977375565611,-0.8776366492146599,-1.142576551942376,34.85285631852279,61.60800153875745,0.11676926298157456,0.69
5,1,2008,control,0.2692825543373726,0.6641366223908919,70.26666666666667,0.0,103.03333333333333,-3.9504107177782117,-1.0806378217604433,5.366416618580496,81.28486247355261,2.5774187343719945,6.35673624288425,0.0,-3.7423058869548216,-1.2128698038589758,11.617618772840931,81.16945566455087,0.05975748093096031,0.37
7,1,2008,control,3.577611079053664,9.43683409436834,65.7,0.0,107.6,-4.86178510998308,-1.1313082614054006,4.096941719561454,80.1307943835353,5.174071936910944,13.647894469812277,0.0,-4.624961161079312,-1.5586322691004342,6.78976726293518,82.80438545874208,0.061856177012907194,0.45
12,1,2008,control,1.9042123485285631,4.9524762381190595,66.63333333333334,0.0,106.66666666666667,-3.3992666517156316,-1.1142370399680595,21.157914983650702,65.64723985381804,7.059049817272553,18.3591795897949,0.0,-1.867802197802198,-1.4577330371417858,25.812656280053858,67.01288709367186,0.07828885400313972,0.47
16,1,2008,control,1.0001923446816696,1.9294117647058822,70.83333333333333,0.357839947950553,102.46666666666667,-2.429006237006237,-0.4382914153836984,25.87035968455472,63.03135218311213,1.4810540488555493,1.7411764705882353,1.3012361743656473,-2.3594303534303536,-0.4394438316612072,26.582035006732063,61.85804962492787,0.08670478170478171,0.53
17,1,2008,control,10.482785150990576,25.034770514603615,71.9,0.1643655489809336,101.4,-4.114571015091999,-1.1556916329676477,20.946335833814196,75.55299095979996,3.693017888055395,8.90125173852573,0.0,-6.164949348769899,-1.5085362403905074,16.041546451240624,73.57184073860358,0.09075253256150508,0.53
21,1,2008,control,13.1756106943643,30.133333333333333,75.0,0.23736859952526282,98.3,-5.048322634085732,-1.257782817924007,17.868820927101364,78.2842854395076,10.771302173494902,24.88888888888889,0.0,-4.852613377510872,-1.3481825599449564,19.25370263512214,78.51509905751107,0.09952263374485597,0.6
23,1,2008,control,0.0,0.0,74.8,0.0,98.5,-3.1958664713269154,0.28299886898730847,21.52336987882285,55.08751683015964,0.8847855356799386,2.049910873440285,0.0,-2.1840163248221014,0.0019434633403112955,24.793229467205233,58.203500673206385,0.10192555624870035,0.6
25,1,2008,control,3.577611079053664,7.705053852526926,80.46666666666667,0.0,92.83333333333333,-0.6921121911705146,-0.06899691048637095,32.91017503366032,59.9153683400654,2.8851702250432774,6.2137531068765535,0.0,-1.4272833130822198,-0.09536451941799803,32.62165801115599,60.4731679169071,0.10874220165023143,0.6
28,1,2008,control,0.2500480861704174,0.45471769609700646,87.96666666666667,0.0390625,85.33333333333333,-1.5996978672985784,-0.03571468942436352,34.160415464512404,51.52914021927294,3.3852663973841124,5.646078059871163,1.0546875,-2.1504788704581363,-0.7561542951680521,33.2179265243316,60.58857472590883,0.12769944707740918,0.69
30,1,2008,control,4.731679169070975,6.98856416772554,78.7,2.854122621564482,94.6,0.9387316561844866,-0.2746278310256716,36.122331217541834,58.22273514137334,3.5391421427197542,5.124947056332062,2.2198731501057085,-0.01859853249475913,-0.24694890834636749,34.73744950952106,57.56876322369686,0.1197233284426745,0.69
1,2,2008,active,2.3850740527024428,6.488749345892203,63.7,0.0,109.6,-5.536875,-0.64974181863075,10.213502596653203,70.57126370455858,1.5002885170225042,4.081632653061225,0.0,-4.690392236976507,-0.6041521302010101,11.752260050009617,69.99422965954992,0.058000408496732034,0.41
2,2,2008,active,0.0,0.0,53.46666666666667,0.0,119.83333333333333,-4.082407762338285,-0.7066596427241929,0.0,69.2248509328717,0.0,0.0,0.0,-3.4651748921897463,-0.6859008609754901,0.0,70.03269859588383,0.05674652611403929,0.41
3,2,2008,active,0.51933064050779,0.0,2.5,0.5269320843091335,170.8,-5.846621951219513,-0.560188996506471,2.5966532025389495,67.20523177534142,0.0,0.0,0.0,-6.768660104459622,-0.33032741094502044,4.423927678399693,65.16637814964416,0.2249333333333334,0.34
4,2,2008,active,4.346989805731871,11.393692777212614,65.53333333333333,0.06186204763377668,107.76666666666667,-4.121730847182814,-0.5048774017515314,13.560300057703403,69.55183689170994,5.347182150413541,13.936927772126145,0.12372409526755336,-3.320028340080972,-0.6294061259750283,17.349490286593575,73.8603577611079,0.058240516545601285,0.43
6,2,2008,active,4.962492787074437,2.857142857142857,2.3333333333333335,4.991226359914213,170.96666666666667,-1.7526834633073385,-0.5008876658285452,24.504712444700903,74.34121946528178,4.693210232737065,17.142857142857142,4.523298888672256,-2.0868186362727457,-0.5188655867956187,24.177726485862667,75.1875360646278,0.3102857142857143,0.42
8,2,2008,active,0.07693787266782073,2.7777777777777777,2.4,0.03900916715428126,170.9,-3.947924486148347,0.36239845147711847,12.7909213310252,35.372186959030586,10.809771109828812,23.61111111111111,10.629998049541642,-3.139515192135836,-0.7428028883550727,16.791690709751876,72.12925562608193,0.013284023668639055,0.14
9,2,2008,active,2.4427774572033085,5.984919886899152,70.73333333333333,0.0,102.56666666666666,-4.432411858974358,-0.6127912467372798,16.21465666474322,69.24408540103866,3.654548951721485,8.953817153628654,0.0,-2.591899038461539,-0.5119372584102143,22.311983073668014,67.53221773417964,0.06330929487179486,0.45
10,2,2008,active,1.0771302173494903,1.3333333333333335,2.5,1.0733801717408276,170.8,-6.801836891709944,-1.5010959312926024,15.445277938065013,81.86189651856127,4.443162146566648,40.0,3.9227166276346606,-3.1788690132717834,-0.7863481751985111,24.658588190036546,78.70744373918062,0.0516,0.18
11,2,2008,active,4.731679169070975,12.047012732615084,68.06666666666666,0.0,105.23333333333333,-4.021569327731092,-0.3957203485495254,15.926139642238892,57.20330832852471,3.67378341988844,9.255631733594514,0.06335128286347799,-3.13222758765484,-0.447202672160168,18.44585497211002,58.66512790921331,0.07378991596638655,0.49
13,2,2008,active,5.077899596076168,11.68141592920354,75.33333333333333,0.0,97.96666666666667,-2.78027783330002,-0.4584723033433962,21.811886901327178,61.43489132525486,14.425851125216388,33.1858407079646,0.0,-3.101071143085532,-0.864483095603361,21.63877668782458,76.80323139065204,0.07923076923076923,0.5
14,2,2008,active,0.8463165993460281,1.9873532068654018,73.8,0.0,99.5,-3.435906432748539,-0.9539172374523494,1.1155991536834007,84.17003269859589,9.578765147143683,22.493224932249323,0.0,-2.3448094373865698,-0.5968104952822882,15.387574533564147,75.24523946912868,0.07640855011090947,0.5
15,2,2008,active,3.94941971245453,8.594044477949492,88.43333333333334,0.0,104.0,-2.662033474413236,-0.43484380313578225,20.162826953057337,58.635025116923615,2.1998960679023036,4.787033546928006,0.0,-2.993224317045018,-0.22994460021255675,20.145504936774643,54.49506322535943,0.08047115884288931,0.53
18,2,2008,active,0.0,0.0,71.26666666666667,0.0,102.03333333333333,-3.134751305927777,1.1931346025035878,21.792652433160224,24.504712444700903,10.271206001154068,24.321796071094482,0.4573668735707285,-2.1330115830115832,-0.767788706695923,25.56260819388344,63.30063473744951,0.11795593913240972,0.54
19,2,2008,active,11.290632814002693,23.07370184254606,79.6,1.2806830309498398,93.7,0.21955143540669803,-0.42457326893365066,37.564916330063475,59.723023658395846,7.943835352952491,16.038525963149077,1.0672358591248665,-0.2105622009569378,-0.31983574204531867,37.04558568955568,59.703789190228896,0.11404942208051015,0.54
20,2,2008,active,2.0216350416740556,4.311649016641452,88.13333333333334,0.0,99.83333333333333,-0.6622138872860165,0.24576480249370117,34.68700124135485,54.06987054442277,0.017733640716439084,0.037821482602118005,0.0,-1.717400923432089,0.5095073632719601,31.122539457350594,51.197020748359634,0.11075722645859196,0.54
22,2,2008,active,10.771302173494902,24.22145328719723,77.06666666666666,0.0,96.23333333333333,-1.7337753222836099,-0.2855009010546081,17.580303904597038,72.53317945758799,3.8084246970571263,8.131487889273355,0.3463803255975061,-1.84938817270309,-0.3350491911044409,16.714752837084053,70.07116753221774,0.07175158583998363,0.57
24,2,2008,active,51.97153298711291,54.396728016359916,81.5,49.818445896877265,91.8,7.484052810562112,-0.10066478647598524,96.15310636660897,51.97153298711291,53.029428736295436,56.48261758691206,49.96368917937545,7.430516000000001,-0.16313021464307068,96.17234083477591,53.029428736295436,0.08169000000000001,0.59
26,2,2008,active,1.3848817080207732,65.11627906976744,1.4333333333333333,0.8533747090768037,171.86666666666667,0.30038084246970553,0.1959275672076791,39.623004423927675,60.18465089440277,4.731679169070975,60.46511627906976,4.266873545384018,1.1644316214656665,0.01035712789918198,45.297172533179456,59.22292748605501,0.25860465116279074,0.39
27,2,2008,active,10.18326091063669,17.763157894736842,96.26666666666667,1.0810810810810811,80.16666666666667,-0.05025389497980385,-0.5891762840220596,39.82618552805592,68.43000188928774,11.222369166824107,19.702216066481995,1.0395010395010396,-0.2929563377572613,-0.6264165017437646,39.97732854713773,69.18571698469677,0.14176459474778008,0.67
29,2,2008,active,8.170310701956272,14.38115330520394,94.8,0.7172995780590717,79.0,-1.0072744758607426,-0.5784402487036582,40.04602991944764,66.45569620253164,6.329113924050633,11.251758087201125,0.42194092827004215,-1.21110021157915,-0.5344147642073299,40.14192558496356,64.55696202531645,0.12971614883007287,0.67
5,2,2008,control,0.9424889401808041,2.3625843780135005,69.13333333333334,0.0,104.16666666666667,-4.855536812859695,-1.4108331988910772,3.5968455472206196,90.72898634352761,5.520292363916138,13.837994214079075,0.0,-4.777703586288885,-1.7080917736460532,9.694171956145412,91.36372379303712,0.06412780313554277,0.45
7,2,2008,control,4.15464512406232,10.16949152542373,70.8,0.0,102.5,-3.4810836160447014,-0.9276103945441523,14.079630698211195,74.84131563762261,6.674360453933449,16.337099811676083,0.0,-3.2282741066081058,-1.4443722888432582,16.849394114252743,78.63050586651279,0.061659013775204635,0.45
12,2,2008,control,3.2729289940828403,7.5,78.66666666666667,0.0,101.6,-3.1822331217541837,-1.2717783016227828,25.85059171597633,73.18786982248521,6.860207100591715,15.720338983050846,0.0,-2.1799596076168495,-1.7016646183434196,28.235946745562128,74.70414201183432,0.07549926035502957,0.5
16,2,2008,control,5.231775341411811,8.721422523285352,78.73333333333333,2.326401127952062,94.56666666666666,0.01935864135864099,-0.3544914168644851,35.77611079053664,64.08924793229467,5.366416618580496,8.21337849280271,2.9961226647867467,0.05127072927072916,-0.3088613424034075,35.160607809194076,63.666089632621656,0.11707809067305773,0.59
17,2,2008,control,7.001346412771686,14.802354920100925,79.26666666666667,0.42538107054236085,94.03333333333333,-2.2133599043443604,-0.49439376038914906,29.67878438161185,60.242354298903635,3.67378341988844,7.9899074852817495,0.03544842254519674,-3.7794701195219127,-0.8967044495473706,24.485477976533947,64.32006155029813,0.1147987245914707,0.59
21,2,2008,control,3.750721292556261,8.001641362330734,81.23333333333333,0.0,92.06666666666666,-5.310192307692309,-0.7859651457978851,5.731871513752645,74.01423350644355,5.385651086747451,11.489536315141567,0.0,-4.880288461538462,-0.8067409259314962,10.463550682823621,77.95729948066936,0.08821113782051282,0.57
23,2,2008,control,0.0,0.0,81.56666666666666,0.0,91.73333333333333,-2.8015467410803274,-0.010337061949133933,16.080015387574534,60.33852663973841,0.42315829967301405,0.8990600735594606,0.0,-1.5754674108032691,-0.3339460119589079,21.658011155991534,69.41719561454126,0.08015746462029101,0.57
25,2,2008,control,2.942873629544143,6.469248291571754,73.16666666666667,0.36617842876165113,100.13333333333334,-1.2308278371617014,0.11089598684480215,23.40834775918446,43.546835929986536,2.0580880938642045,4.4646924829157175,0.2996005326231691,-1.483794632704117,-0.039254099231855626,22.215810732833237,42.238892094633584,0.08242382901318782,0.59
28,2,2008,control,1.7695710713598771,2.7624309392265194,84.46666666666667,0.8255159474671669,88.83333333333333,-2.1127621951219515,-0.37149941741537656,30.332756299288327,56.876322369686484,4.173879592229275,5.722178374112076,2.7016885553470917,-2.2906849593495937,-1.0787146577072804,32.198499711482974,60.85785728024619,0.12400934769355822,0.67
30,2,2008,control,3.308328524716292,4.428341384863124,82.8,2.283609576427256,90.5,1.8765434830714756,-0.005951731976292871,40.62319676860935,47.45143296787844,1.2117714945181766,1.4492753623188406,0.9944751381215469,0.8555676034520908,0.155113643861907,39.41142527409117,44.70090402000385,0.13277716308917903,0.67
1,1,2009,active,0.0,0.0,67.0,0.0,106.3,-7.741808760265937,-1.1358895384313779,0.0,90.45970378919023,1.3656472398538182,3.5323383084577116,0.0,-6.343325382627709,-0.9962798608955749,2.6928255433737256,84.8047701481054,0.05759679311693391,0.35
2,1,2009,active,0.0,0.0,66.73333333333333,0.0,106.56666666666666,-5.560651834504293,-0.8813122869310088,0.0,96.98018849778803,0.0,0.0,0.0,-5.58051727503416,-1.059155891553133,0.0,97.40334679746105,0.05875487900078064,0.32
3,1,2009,active,0.0,0.0,67.0,0.0,106.3,-11.531336063975035,-1.3678716648496487,0.019234468166955183,89.86343527601461,0.0,0.0,0.0,-10.602728515625,-1.1757498124045913,0.05770340450086555,84.92017695710715,0.05638671875000001,0.32
4,1,2009,active,0.0,0.0,68.73333333333333,0.0,107.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.05376327769347497,0.32
6,1,2009,active,2.5581842662050396,,,2.5581842662050396,173.3,-1.7302567975830814,-0.5615190934098079,13.925754952875552,50.00961723408348,1.1155991536834007,,1.1155991536834007,-2.5689003021148036,-0.42487116913984363,12.233121754183497,49.18253510290441,0.0,0.0
8,1,2009,active,0.827082131179073,2.2337662337662336,64.16666666666667,0.0,109.13333333333334,-5.514487534626039,-0.4298847987113035,7.809194075783804,66.87824581650318,1.788805539526832,4.8311688311688314,0.0,-7.873919667590028,-0.6746704506664174,7.847663012117715,73.45643392960184,0.045039761431411536,0.32
9,1,2009,active,0.0,0.0,9.4,0.0,163.9,-5.630327022375216,-0.5152689499854852,0.6539719176764763,16.041546451240624,0.019234468166955183,0.3546099290780142,0.0,-4.750012908777968,-0.5417556441519314,0.019234468166955183,17.676476245431815,0.03607573149741825,0.32
10,1,2009,active,0.0,,,0.0,173.3,-13.488636363636363,-2.3716051876500006,0.0,7.6168493941142525,0.0,,0.0,-10.903636363636364,-2.095994952548555,0.0,7.6168493941142525,0.0,0.0
11,1,2009,active,1.2117714945181766,5.833333333333333,36.0,0.0,137.3,-6.122819036071537,-0.902823451881419,1.2117714945181766,54.14502788997885,4.404693210232737,21.203703703703702,0.0,-4.621594906003638,-0.9533935557255562,4.558568955568378,52.125408732448555,0.025719915125795693,0.31
13,1,2009,active,0.0,0.0,44.833333333333336,0.0,128.46666666666667,-3.1626904282839896,1.224770838451782,1.5579919215233697,4.943258318907482,0.0,0.0,0.0,-4.380089106064961,2.0827728697348746,1.2887093671859973,0.0,0.044125874125874126,0.37
14,1,2009,active,4.71244470090402,13.96011396011396,58.5,0.0,114.8,-2.6447821949672234,-0.5997075972638551,10.213502596653203,75.47605308713214,20.350067320638583,59.14529914529915,0.5807200929152149,-1.7755104629042486,-1.3270806503671355,20.542412002308136,90.74822081169455,0.05148022837809262,0.37
