house_num,week,year,house_group,living_all_comfort_pct,living_all_temp_ok_pct,living_all_rh_ok_pct,living_all_both_ok_pct,living_all_avg_temp,living_all_avg_rh,living_all_n_samples,living_all_hours,living_occ_comfort_pct,living_occ_temp_ok_pct,living_occ_rh_ok_pct,living_occ_both_ok_pct,living_occ_avg_temp,living_occ_avg_rh,living_occ_n_samples,living_occ_hours,bedroom_all_comfort_pct,bedroom_all_temp_ok_pct,bedroom_all_rh_ok_pct,bedroom_all_both_ok_pct,bedroom_all_avg_temp,bedroom_all_avg_rh,bedroom_all_n_samples,bedroom_all_hours,bedroom_occ_comfort_pct,bedroom_occ_temp_ok_pct,bedroom_occ_rh_ok_pct,bedroom_occ_both_ok_pct,bedroom_occ_avg_temp,bedroom_occ_avg_rh,bedroom_occ_n_samples,bedroom_occ_hours
15,1,2009,active,27.601461819580685,39.06520484708598,41.77726485862666,27.601461819580685,17.29698566610455,60.95836846543002,5199,173.3,27.601461819580685,39.06520484708598,41.77726485862666,27.601461819580685,17.29698566610455,60.95836846543002,5199,173.3,4.616272360069244,15.676091556068474,5.366416618580496,4.616272360069244,16.247260869565217,68.92463768115942,5199,173.3,4.616272360069244,15.676091556068474,5.366416618580496,4.616272360069244,16.247260869565217,68.92463768115942,5199,173.3
16,1,2009,control,14.714368147720716,30.659742258126567,17.984227736103097,14.714368147720716,16.463541048466865,66.68783382789317,5199,173.3,14.714368147720716,30.659742258126567,17.984227736103097,14.714368147720716,16.463541048466865,66.68783382789317,5199,173.3,4.827851509905751,11.983073668013079,6.8474706674360455,4.827851509905751,16.188732033864934,73.47863752707225,5199,173.3,4.827851509905751,11.983073668013079,6.8474706674360455,4.827851509905751,16.188732033864934,73.47863752707225,5199,173.3
17,1,2009,control,20.869397961146376,22.715906905174073,69.20561646470476,20.869397961146376,16.871241830065358,59.23430382253912,5199,173.3,20.869397961146376,22.715906905174073,69.20561646470476,20.869397961146376,16.871241830065358,59.23430382253912,5199,173.3,80.28467012887094,81.43873821888825,89.32487016733988,80.28467012887094,20.490201620873687,54.38367266258154,5199,173.3,80.28467012887094,81.43873821888825,89.32487016733988,80.28467012887094,20.490201620873687,54.38367266258154,5199,173.3
18,1,2009,active,19.888440084631657,68.93633391036738,19.888440084631657,19.888440084631657,19.531200079872203,64.02751597444089,5199,173.3,19.888440084631657,68.93633391036738,19.888440084631657,19.888440084631657,19.531200079872203,64.02751597444089,5199,173.3,1.3848817080207732,56.81861896518561,1.3848817080207732,1.3848817080207732,18.318814402227968,75.1484981102049,5199,173.3,1.3848817080207732,56.81861896518561,1.3848817080207732,1.3848817080207732,18.318814402227968,75.1484981102049,5199,173.3
19,1,2009,active,3.4237353337180227,10.732833237160992,9.232544720138488,3.4237353337180227,15.068003579240406,68.83366474448201,5199,173.3,3.4237353337180227,10.732833237160992,9.232544720138488,3.4237353337180227,15.068003579240406,68.83366474448201,5199,173.3,3.058280438545874,4.19311406039623,7.674552798615118,3.058280438545874,15.022573180379748,67.7351661392405,5199,173.3,3.058280438545874,4.19311406039623,7.674552798615118,3.058280438545874,15.022573180379748,67.7351661392405,5199,173.3
20,1,2009,active,8.251586843623773,9.078668974802847,39.680707828428545,8.251586843623773,15.204955044955046,61.50217782217783,5199,173.3,8.251586843623773,9.078668974802847,39.680707828428545,8.251586843623773,15.204955044955046,61.50217782217783,5199,173.3,16.099249855741487,18.04193114060396,27.75533756491633,16.099249855741487,15.470253088880034,63.392686329214825,5199,173.3,16.099249855741487,18.04193114060396,27.75533756491633,16.099249855741487,15.470253088880034,63.392686329214825,5199,173.3
21,1,2009,control,64.24312367763031,64.24312367763031,98.69205616464704,64.24312367763031,19.597409931840314,43.50701071080818,5199,173.3,64.24312367763031,64.24312367763031,98.69205616464704,64.24312367763031,19.597409931840314,43.50701071080818,5199,173.3,61.550298134256586,61.550298134256586,98.6728216964801,61.550298134256586,18.662734892787523,44.62982456140351,5199,173.3,61.550298134256586,61.550298134256586,98.6728216964801,61.550298134256586,18.662734892787523,44.62982456140351,5199,173.3
22,1,2009,active,3.1159838430467395,31.102135025966533,3.1159838430467395,3.1159838430467395,17.20601318944844,72.04836131095124,5199,173.3,3.1159838430467395,31.102135025966533,3.1159838430467395,3.1159838430467395,17.20601318944844,72.04836131095124,5199,173.3,0.36545489517214846,6.597422581265628,0.8847855356799386,0.36545489517214846,16.206665358964297,77.68791683012947,5199,173.3,0.36545489517214846,6.597422581265628,0.8847855356799386,0.36545489517214846,16.206665358964297,77.68791683012947,5199,173.3
23,1,2009,control,48.85554914406617,59.876899403731485,66.72437007116753,48.85554914406617,19.419281951219514,57.44185365853659,5199,173.3,48.85554914406617,59.876899403731485,66.72437007116753,48.85554914406617,19.419281951219514,57.44185365853659,5199,173.3,13.06020388536257,35.46835929986536,14.060396230044239,13.06020388536257,17.430337166244396,68.49356850516469,5199,173.3,13.06020388536257,35.46835929986536,14.060396230044239,13.06020388536257,17.430337166244396,68.49356850516469,5199,173.3
24,1,2009,active,25.851125216387764,72.51394498942105,26.774379688401616,25.851125216387764,19.17875671374577,63.513228565744974,5199,173.3,25.851125216387764,72.51394498942105,26.774379688401616,25.851125216387764,19.17875671374577,63.513228565744974,5199,173.3,26.428159261396424,86.0934795152914,26.428159261396424,26.428159261396424,19.512013090043634,63.05454184847283,5199,173.3,26.428159261396424,86.0934795152914,26.428159261396424,26.428159261396424,19.512013090043634,63.05454184847283,5199,173.3
25,1,2009,control,9.674937487978458,30.10194268128486,10.905943450663589,9.674937487978458,16.04586917740337,66.60614469772051,5199,173.3,9.674937487978458,30.10194268128486,10.905943450663589,9.674937487978458,16.04586917740337,66.60614469772051,5199,173.3,0.0,8.732448547797654,1.2117714945181766,0.0,15.781431112868157,74.63431508203202,5199,173.3,0.0,8.732448547797654,1.2117714945181766,0.0,15.781431112868157,74.63431508203202,5199,173.3
26,1,2009,active,13.406424312367763,60.165416426235815,16.984035391421425,13.406424312367763,19.389155844155844,65.74950806768989,5199,173.3,13.406424312367763,60.165416426235815,16.984035391421425,13.406424312367763,19.389155844155844,65.74950806768989,5199,173.3,3.1929217157145606,50.8174648970956,3.981534910559723,3.1929217157145606,18.43579572213501,71.07986656200941,5199,173.3,3.1929217157145606,50.8174648970956,3.981534910559723,3.1929217157145606,18.43579572213501,71.07986656200941,5199,173.3
