house_num,week,year,house_group,recording_status,dehumidifier_usage,living_overall_rh_mean,living_overall_rh_std,living_overall_rh_median,living_overall_rh_min,living_overall_rh_max,living_overall_rh_q25,living_overall_rh_q75,living_overall_rh_n,living_overall_rh_ci_lower,living_overall_rh_ci_upper,living_overall_rh_is_normal,living_pct_comfort_rh,living_pct_above_60,living_pct_above_70,living_overall_hr_mean,living_overall_hr_std,living_day_rh_mean,living_day_rh_std,living_day_rh_median,living_day_rh_min,living_day_rh_max,living_day_rh_n,living_day_rh_hours,living_day_rh_is_normal,living_day_pct_comfort,living_day_hr_mean,living_night_rh_mean,living_night_rh_std,living_night_rh_median,living_night_rh_min,living_night_rh_max,living_night_rh_n,living_night_rh_hours,living_night_rh_is_normal,living_night_pct_above_60,living_night_pct_above_70,living_night_hr_mean,bedroom_overall_rh_mean,bedroom_overall_rh_std,bedroom_overall_rh_median,bedroom_overall_rh_min,bedroom_overall_rh_max,bedroom_overall_rh_q25,bedroom_overall_rh_q75,bedroom_overall_rh_n,bedroom_overall_rh_ci_lower,bedroom_overall_rh_ci_upper,bedroom_overall_rh_is_normal,bedroom_pct_comfort_rh,bedroom_pct_above_60,bedroom_pct_above_70,bedroom_overall_hr_mean,bedroom_overall_hr_std,bedroom_day_rh_mean,bedroom_day_rh_std,bedroom_day_rh_median,bedroom_day_rh_min,bedroom_day_rh_max,bedroom_day_rh_n,bedroom_day_rh_hours,bedroom_day_rh_is_normal,bedroom_day_pct_comfort,bedroom_day_hr_mean,bedroom_night_rh_mean,bedroom_night_rh_std,bedroom_night_rh_median,bedroom_night_rh_min,bedroom_night_rh_max,bedroom_night_rh_n,bedroom_night_rh_hours,bedroom_night_rh_is_normal,bedroom_night_pct_above_60,bedroom_night_pct_above_70,bedroom_night_hr_mean
1,1,2008,active,control,N/A,65.43535749265426,6.710064497392149,65.0,50.0,81.0,61.0,69.0,4084,65.22965536238982,65.63650526444663,False,22.355533790401566,77.64446620959843,20.73947110675808,8.853058110247282,0.6345434908232327,67.38098591549296,6.504992749364679,67.0,55.0,81.0,1420.0,47.333333333333336,False,13.169014084507042,8.6508120630519,64.39827327327328,6.587218704848919,64.0,50.0,81.0,2664.0,88.8,False,72.74774774774775,18.993993993993993,8.96086193420278,68.70984329089129,4.816982680113241,69.0,60.0,81.0,65.0,72.0,4084,68.55181194906955,68.85383814887365,False,0.3917727717923604,99.60822722820764,31.366307541625858,8.763111852050708,0.540348257534359,67.97323943661972,4.863534698801819,67.0,61.0,79.0,1420.0,47.333333333333336,False,0.0,8.548649019554622,69.10247747747748,4.746404993649761,70.0,60.0,81.0,2664.0,88.8,False,99.3993993993994,37.23723723723724,8.877427626128949
2,1,2008,active,control,N/A,69.2447232178415,4.131821010719504,70.0,48.0,77.0,67.0,72.0,5022,69.13598168060534,69.3544504181601,False,2.927120669056153,97.07287933094385,46.81401831939466,8.701830030491106,0.6740524163749996,68.85171696149844,5.0341229861290335,70.0,48.0,77.0,1922.0,64.06666666666666,False,6.763787721123829,8.889393714112016,69.48838709677419,3.4344731267594746,70.0,58.0,75.0,3100.0,103.33333333333333,False,99.45161290322581,49.41935483870968,8.585540546646142,72.5706315999203,4.215349712189943,74.0,43.0,79.0,72.0,75.0,5019,72.44464534767882,72.68861825064754,False,2.1119744969117353,97.88802550308826,79.39828651125723,9.020328829196359,0.46920002372386643,70.5852006253257,5.416337800662542,73.0,43.0,79.0,1919.0,63.96666666666667,False,5.523710265763419,9.008141298574413,73.79967741935484,2.5814014267538674,75.0,61.0,79.0,3100.0,103.33333333333333,False,100.0,88.90322580645162,9.02787330379749
3,1,2008,active,control,N/A,61.392921057864385,3.9071764539135807,62.0,50.0,71.0,59.0,64.0,5029,61.287333465897795,61.49334857824617,False,36.36905945516008,63.63094054483993,0.11930801352157487,8.099530060945646,0.742996525774498,59.744029075804775,4.709471326348597,60.0,50.0,70.0,1926.0,64.2,False,52.75181723779855,8.254860447766939,62.55639344262295,2.6712762372948244,63.0,54.0,71.0,3050.0,101.66666666666667,False,75.08196721311475,0.19672131147540983,8.006887142281336,59.27812064503285,4.308782244703926,59.0,49.0,73.0,56.0,62.0,5023,59.15841130798327,59.38964264383834,False,67.11128807485566,32.888711925144335,0.5773442166036233,8.154086477719735,0.5615510273196894,57.465732087227416,4.020288696602473,57.0,49.0,69.0,1926.0,64.2,False,76.94704049844236,7.883941868113358,60.50098360655738,4.040971580157018,59.0,52.0,73.0,3050.0,101.66666666666667,False,39.60655737704918,0.9508196721311476,8.332034632944152
4,1,2008,active,control,N/A,65.77431446044585,4.74025015538895,66.0,49.0,77.0,63.0,69.0,5069,65.63599822450188,65.90828565792069,False,11.027816137305187,88.9721838626948,15.545472479779049,8.354167672230094,0.8201614846777049,63.99544994944388,5.993798812365013,63.0,49.0,77.0,1978.0,65.93333333333334,False,26.643073811931245,8.305988164980214,66.93014827018122,3.2562090900099894,67.0,57.0,73.0,3035.0,101.16666666666667,False,99.01153212520593,13.44316309719934,8.40743985172546,72.9014504271806,4.544540204474789,74.0,53.0,83.0,70.0,76.0,5033,72.77168189946353,73.0292320683489,False,1.5696403735346711,98.43035962646532,74.8460162924697,8.650232371416891,0.7024996168925679,70.56370070778564,5.060807468786472,72.0,53.0,80.0,1978.0,65.93333333333334,False,3.993933265925177,8.408941885472856,74.44481054365733,3.398277209329911,75.0,62.0,83.0,3035.0,101.16666666666667,False,100.0,86.58978583196047,8.815486483788204
5,1,2008,control,control,moderate,74.28870967741935,3.7828985924330287,75.15,59.85,81.8,72.375,77.15,5115,74.18287952101662,74.38727272727273,False,0.09775171065493646,99.90224828934507,87.0772238514174,8.512287930888153,0.6149368895859616,72.62948292220115,4.662822400303826,73.05,59.85,81.8,2108.0,70.26666666666667,False,0.23719165085388993,8.656317262884212,75.45978369384359,2.394144568632601,75.85,68.1,80.75,3005.0,100.16666666666667,False,100.0,98.83527454242929,8.411018969436709,76.36617245415529,3.4287790418406896,77.0,62.0,84.0,75.0,79.0,5126,76.2680818376902,76.46218055013657,False,0.0,100.0,91.70893484198204,8.646115498408165,0.6726298560740611,75.4331119544592,4.024490097354117,76.0,62.0,84.0,2108.0,70.26666666666667,False,0.0,8.678554479144037,77.05357737104825,2.712007503950735,77.0,68.0,81.0,3005.0,100.16666666666667,False,100.0,95.74043261231282,8.62041200524173
6,1,2008,active,control,N/A,67.85848670756646,6.703851019438266,69.0,49.0,84.0,64.0,72.0,4890,67.67094836400817,68.04707055214725,False,13.94683026584867,86.05316973415133,37.852760736196316,7.05469838249608,0.7370783409151414,65.54595588235294,8.696183616416633,66.0,49.0,84.0,1904.0,63.46666666666667,False,29.6218487394958,7.298337011415594,69.37081911262798,4.457199631362376,70.0,55.0,81.0,2930.0,97.66666666666667,False,95.97269624573379,43.44709897610922,6.904441089342824,66.28673615368895,6.504836699392803,68.0,45.0,80.0,63.0,71.0,4893,66.10205395462906,66.46699366441855,False,16.758634784385855,83.24136521561414,29.409360310647862,6.944202539811756,0.5171723561444621,64.26470588235294,8.592380383172632,65.0,45.0,80.0,1904.0,63.46666666666667,False,33.035714285714285,7.07831295580968,67.60136518771331,4.26672975146316,68.0,52.0,76.0,2930.0,97.66666666666667,False,93.48122866894198,29.351535836177472,6.864370687251663
7,1,2008,control,control,low,70.06080795262267,2.6498167913334982,71.0,58.0,77.0,69.0,72.0,4728,69.98386474196278,70.13802083333333,False,0.2326565143824027,99.7673434856176,53.870558375634516,7.124979909165287,0.5159767750941288,69.07095709570957,3.5209762597955323,69.0,58.0,77.0,1818.0,60.6,False,0.605060506050605,7.183794745257463,70.67920962199312,1.6344091563995589,71.0,65.0,74.0,2910.0,97.0,False,100.0,60.996563573883165,7.088235795070588,75.49550286181521,4.585517213745324,76.0,63.0,89.0,73.0,79.0,4892,75.36729865085854,75.62186733442356,False,0.0,100.0,83.34014717906787,7.564562058359608,0.48258197965377253,73.04109589041096,5.608354501967076,72.0,63.0,89.0,1971.0,65.7,False,0.0,7.429345146279429,77.16219931271478,2.680631029668563,77.0,68.0,83.0,2910.0,97.0,False,100.0,99.00343642611685,7.66008182891492
8,1,2008,active,control,N/A,66.65814151747655,6.58490150797088,68.0,49.0,78.0,62.5,72.0,3519,66.45063938618925,66.87838164251207,False,19.465757317419722,80.53424268258028,32.5944870701904,7.013575307454222,0.5792287600894312,69.78098591549296,6.13834438220587,71.0,52.0,78.0,1420.0,47.333333333333336,False,11.47887323943662,6.886689140897054,64.48771084337349,6.017911092586593,66.0,49.0,78.0,2075.0,69.16666666666667,False,74.8433734939759,16.337349397590362,7.093652770204925,72.8861119000284,4.584786194823871,73.0,61.0,83.0,71.0,76.0,3521,72.72363675092303,73.03191564896336,False,0.0,100.0,77.84720249928996,7.454681349640687,0.5033685224940417,74.23802816901409,3.914119152217293,75.0,61.0,82.0,1420.0,47.333333333333336,False,0.0,7.233068227315225,71.90698795180722,4.768257743326998,72.0,62.0,83.0,2075.0,69.16666666666667,False,100.0,73.73493975903614,7.596136148350396
9,1,2008,active,control,N/A,62.186532663316584,5.2332966652405455,63.0,45.0,72.0,60.0,66.0,4975,62.04658793969849,62.32614070351759,False,31.2964824120603,68.7035175879397,1.0452261306532662,7.338457215543182,0.8920336114130059,59.22162688748173,5.920697488932874,60.0,45.0,72.0,2053.0,68.43333333333334,False,50.754992693619094,7.345980811204574,64.26082474226804,3.3936746826571333,65.0,53.0,72.0,2910.0,97.0,False,82.30240549828179,0.859106529209622,7.328746448825648,70.88248292486942,8.621919914733823,74.0,46.0,84.0,66.0,78.0,4978,70.63446916432302,71.10729208517476,False,15.809562073121736,84.19043792687827,62.43471273603857,7.284603356113708,0.6766738963260936,66.26874391431353,9.18047530463142,67.0,46.0,83.0,2054.0,68.46666666666667,False,32.229795520934765,7.1629473327099715,74.14123711340206,6.48442488481148,76.0,48.0,84.0,2910.0,97.0,False,95.7044673539519,78.96907216494846,7.3653311356028
10,1,2008,active,control,N/A,61.111578460827346,4.75036193280353,62.1,38.4,69.5,59.1,64.2,4327,60.967145828518596,61.239500808874524,False,30.367460134042062,69.63253986595794,0.0,10.276249745461653,0.813439132099594,58.02550081212778,5.364476718320471,58.4,38.4,69.5,1847.0,61.56666666666667,False,61.50514347590688,10.5545927968049,63.409959677419344,2.359863732465899,63.3,55.5,69.1,2480.0,82.66666666666667,False,92.8225806451613,0.0,10.068951513271745,73.0938077634011,4.943274572204179,74.0,58.0,85.0,70.0,77.0,4328,72.94644177449167,73.24089648798521,False,0.9011090573012939,99.0988909426987,71.69593345656192,9.427979305285103,0.8292981953114822,71.52842447211695,5.516068211427133,72.0,58.0,82.0,1847.0,61.56666666666667,False,2.1115322144017323,9.615392901675104,74.26290322580645,4.095722692203378,75.0,62.0,85.0,2480.0,82.66666666666667,False,100.0,82.98387096774194,9.288548478274441
