house_num,house_group,year,week,location,hourly_range,coldest_hour,warmest_hour,day_mean,night_mean,day_night_diff,night_pct_below_12,day_pct_in_who
1,active,2008,1,living,5.307333333333332,7.0,21.0,18.049295774647888,19.322965465465465,-1.2736696908175773,0.0,42.74647887323943
2,active,2008,1,living,4.146904761904764,6.0,19.0,18.08965140478668,17.36576129032258,0.7238901144640977,0.0,50.415368639667705
3,active,2008,1,living,4.2422857142857175,7.0,14.0,19.172414330218068,17.912849180327868,1.2595651498902,0.0,66.14745586708204
4,active,2008,1,living,4.512809523809523,7.0,15.0,18.19436804853387,17.601084019769356,0.5932840287645149,0.0,56.26895854398383
5,control,2008,1,living,4.389467787114844,7.0,14.0,16.825853889943073,15.742279534109818,1.083574355833255,0.0,30.64516129032258
6,active,2008,1,living,6.922388888888891,6.0,14.0,15.897064075630253,14.006790102389077,1.8902739732411753,22.55972696245734,27.468487394957986
7,control,2008,1,living,3.5120297619047616,7.0,16.0,14.713619361936194,14.131463917525773,0.5821554444104216,5.257731958762887,0.0
8,active,2008,1,living,6.904400000000001,8.0,21.0,13.973225352112676,15.629990361445781,-1.656765009333105,0.48192771084337355,10.140845070422536
9,active,2008,1,living,6.343999999999998,6.0,19.0,17.50145153433999,16.05683848797251,1.4446130463674791,0.5154639175257731,46.93281402142161
10,active,2008,1,living,4.570555555555558,3.0,15.0,23.622306442880348,21.363185483870968,2.2591209590093797,0.0,52.13860314022739
11,active,2008,1,living,6.230428571428572,7.0,17.0,19.284599033816427,18.029633752244166,1.254965281572261,0.0,71.54589371980677
12,control,2008,1,living,6.656047619047619,6.0,18.0,19.31944972486243,18.249857723577236,1.0695920012851943,0.0,73.98699349674838
13,active,2008,1,living,5.125714285714286,7.0,15.0,16.2340573372206,15.6138880866426,0.6201692505780017,3.032490974729242,31.82701652089407
14,active,2008,1,living,6.103075933075932,6.0,15.0,18.342900656044986,16.68413043478261,1.658770221262376,0.0,60.96532333645735
15,active,2008,1,living,6.669026217228463,7.0,15.0,19.47832454598711,19.128224101479915,0.3501004445071949,0.0,62.331575864089054
16,control,2008,1,living,5.243103174603176,6.0,14.0,17.773957647058822,16.639556797020482,1.1344008500383396,0.0,55.34117647058824
17,control,2008,1,living,4.200666666666663,7.0,16.0,19.019007881316643,18.07930223880597,0.939705642510674,0.0,72.09086694483078
18,active,2008,1,living,6.501311475409837,6.0,16.0,18.55711842105263,17.27526966292135,1.2818487581312787,0.0,64.91228070175438
19,active,2008,1,living,4.63833464877664,6.0,16.0,16.33991592713685,15.555646616541354,0.7842693105954961,0.0,19.290051377860813
20,active,2008,1,living,5.232888888888887,6.0,16.0,18.083359914938864,17.426717724288842,0.6566421906500217,0.0,58.001063264221166
21,control,2008,1,living,3.3934285714285686,6.0,19.0,19.562497777777775,19.349197363319117,0.21330041445865788,0.0,83.46666666666667
22,active,2008,1,living,5.682714285714287,6.0,19.0,16.94968456947997,16.526259750390015,0.42342481908995566,0.0,25.53282182438193
23,control,2008,1,living,6.0888351648351655,6.0,16.0,18.57382798573975,17.101767955801108,1.4720600299386426,0.0,67.33511586452762
24,active,2008,1,living,3.7380952380952372,6.0,21.0,19.16561427909133,18.988952155001975,0.17666212408935422,0.0,82.93926750115902
25,control,2008,1,living,8.102045944005743,7.0,14.0,17.9013256006628,15.154952456418384,2.7463731442444175,7.9452054794520555,63.25600662800331
26,active,2008,1,living,5.9399999999999995,6.0,17.0,17.97801089918256,17.54509722222222,0.43291367696033944,0.0,58.31062670299727
27,active,2008,1,living,7.908547619047619,7.0,16.0,18.003333333333334,16.63598767967146,1.367345653661875,0.41067761806981523,51.36402387041773
28,control,2008,1,living,4.934952380952378,6.0,16.0,18.86375899962107,18.314148453608247,0.549610546012822,0.0,66.61614247821144
29,active,2008,1,living,6.421612903225807,8.0,15.0,20.91536543422184,20.785571428571433,0.12979400565040677,0.0,62.16680997420464
30,control,2008,1,living,5.499404761904762,7.0,16.0,17.99570097416349,17.779439834024895,0.2162611401385952,0.0,53.748411689961884
1,active,2008,1,bedroom,1.72138383838384,9.0,23.0,17.692007042253522,18.004973723723722,-0.31296668147020057,0.0,36.901408450704224
2,active,2008,1,bedroom,3.272904761904762,7.0,16.0,17.921130797290257,17.21332580645161,0.7078049908386461,0.0,39.40809968847352
3,active,2008,1,bedroom,2.470333333333329,9.0,2.0,19.07894080996885,19.127813114754098,-0.048872304785248843,0.0,73.15680166147456
4,active,2008,1,bedroom,3.475904761904763,8.0,16.0,16.805884732052576,16.692955518945634,0.11292921310694126,0.0,23.96359959555106
5,control,2008,1,bedroom,3.750168067226893,7.0,14.0,16.25345825426945,15.789723793677203,0.46373446059224754,0.0,17.552182163187855
6,active,2008,1,bedroom,5.566200828157349,7.0,15.0,15.748230042016806,14.358061433447098,1.3901686085697076,2.4232081911262795,23.3718487394958
7,control,2008,1,bedroom,2.0698571428571437,7.0,14.0,14.379127346524609,13.98274914089347,0.3963782056311391,3.0927835051546393,0.0
8,active,2008,1,bedroom,3.6468000000000007,10.0,22.0,13.71601408450704,14.965421686746987,-1.2494076022399465,0.0,0.0
9,active,2008,1,bedroom,4.268857142857142,7.0,14.0,15.43541382667965,14.009243986254296,1.426169840425354,3.470790378006873,7.254138266796495
10,active,2008,1,bedroom,3.993777777777778,5.0,19.0,18.700108283703297,17.542334677419355,1.1577736062839428,0.0,53.05901461829995
11,active,2008,1,bedroom,5.144095238095238,6.0,16.0,18.065811594202895,17.366197486535007,0.6996141076678875,0.0,48.84057971014493
