Year,Week,Mean Hours,Median Hours,Std Hours,Min Hours,Max Hours,Houses > 0 hrs,Houses > 4 hrs,Houses > 8 hrs,Total Houses
2008,1,36.306666666666665,42.33333333333333,20.645536843852746,0.0,68.3,29,27,26,30
2008,2,48.8711111111111,42.7,31.197826004096257,8.233333333333333,166.66666666666666,30,30,30,30
2009,1,24.702298850574714,18.766666666666666,21.57342929785164,0.0,64.26666666666667,26,23,19,29
2009,2,25.33888888888889,25.166666666666664,18.420956921269713,0.0,60.56666666666667,28,23,22,30
Overall,-,33.8812324929972,34.4,25.212447841328366,0.0,166.66666666666666,113,103,97,119
