house_num,week,year,date,hours_above_18,max_temp,mean_temp,min_temp,ext_mean_temp,ext_max_temp,max_solar,total_solar
15,1,2009,2009-07-18,0.06666666666666667,18.1,12.731720430107524,10.4,12.691666666666666,14.4,0.28,1.0083333333333333
15,1,2009,2009-07-19,3.933333333333333,24.4,13.926875,10.6,13.763194444444444,16.0,0.37,1.4100000000000001
15,1,2009,2009-07-20,5.366666666666666,24.3,14.03201388888889,8.5,13.016666666666667,15.5,0.32,1.415
15,1,2009,2009-07-21,0.36666666666666664,18.2,12.22125,6.1,12.363194444444444,15.5,0.24,1.0383333333333336
15,1,2009,2009-07-22,6.433333333333334,24.4,15.11625,8.9,14.479166666666666,16.7,0.32,1.3316666666666666
15,1,2009,2009-07-23,0.0,17.8,12.712847222222223,6.5,13.597916666666666,17.1,0.18,0.7466666666666666
15,1,2009,2009-07-24,0.0,14.6,13.254512635379061,11.8,14.333935018050541,15.5,0.12,0.04633333333333334
16,1,2009,2009-07-27,0.0,14.8,7.361666666666667,2.5,7.4642857142857135,12.6,0.05,0.013333333333333334
16,1,2009,2009-07-28,2.3,19.3,9.530138888888889,1.2,9.728472222222223,13.9,0.31,1.3066666666666669
16,1,2009,2009-07-29,3.1,21.0,13.124861111111112,7.7,13.543055555555556,15.6,0.35,1.34
16,1,2009,2009-07-30,2.2666666666666666,19.6,10.87138888888889,6.2,12.405555555555555,15.7,0.34,1.361666666666667
16,1,2009,2009-07-31,4.166666666666667,20.6,11.253472222222221,3.6,12.520833333333334,16.2,0.29,1.325
16,1,2009,2009-08-01,1.1,19.4,12.035416666666666,8.5,12.81875,17.1,0.23,0.73
16,1,2009,2009-08-02,3.9,22.2,11.669166666666666,4.8,12.263194444444444,15.4,0.35,1.6166666666666667
16,1,2009,2009-08-03,5.066666666666666,23.8,13.131285988483684,7.4,13.559500959692897,15.4,0.37,1.7403333333333333
17,1,2009,2009-07-16,0.0,16.700000000000003,10.026756756756757,6.1,10.97027027027027,14.2,0.0,0.0
17,1,2009,2009-07-17,0.0,13.5,10.333750000000002,5.6,11.238194444444444,13.2,0.07,0.31833333333333336
17,1,2009,2009-07-18,0.0,15.2,10.295486111111112,7.8,12.691666666666666,14.4,0.28,1.0083333333333333
17,1,2009,2009-07-19,3.4,22.7,12.219166666666666,8.5,13.763194444444444,16.0,0.37,1.4100000000000001
17,1,2009,2009-07-20,3.6,20.8,11.628472222222221,5.3,13.016666666666667,15.5,0.32,1.415
17,1,2009,2009-07-21,0.0,16.5,9.760694444444445,3.3,12.363194444444444,15.5,0.24,1.0383333333333336
17,1,2009,2009-07-22,5.8,22.2,13.627916666666664,7.0,14.479166666666666,16.7,0.32,1.3316666666666666
17,1,2009,2009-07-23,0.0,17.1,9.957889733840306,3.7,12.558555133079848,17.1,0.18,0.7466666666666666
18,1,2009,2009-08-14,0.0,14.8,14.306774193548389,13.9,15.203225806451613,16.0,0.0,0.0
18,1,2009,2009-08-15,6.233333333333333,20.7,16.23784722222222,13.9,15.61736111111111,17.6,0.36,1.07
18,1,2009,2009-08-16,1.6,19.5,14.352083333333333,12.4,14.086805555555555,16.1,0.4,1.195
18,1,2009,2009-08-17,6.6,24.6,15.875972222222224,11.7,14.356944444444444,16.4,0.36,2.091666666666667
18,1,2009,2009-08-18,5.7,23.0,15.424722222222222,9.4,14.406944444444445,16.9,0.35,1.6533333333333333
18,1,2009,2009-08-19,7.9,27.1,17.196805555555557,13.1,14.115972222222222,16.9,0.4,1.77
18,1,2009,2009-08-20,4.8,19.8,14.812222222222221,11.2,13.04375,16.0,0.25,1.175
18,1,2009,2009-08-21,7.3,29.8,17.118667917448406,9.5,13.856660412757975,17.2,0.41,2.1533333333333338
19,1,2009,2009-07-30,0.0,13.7,8.759444444444444,6.2,10.88888888888889,13.3,0.0,0.0
19,1,2009,2009-07-31,6.133333333333334,25.1,12.298819444444444,2.7,12.520833333333334,16.2,0.29,1.325
19,1,2009,2009-08-01,1.7666666666666666,21.0,12.589930555555556,8.0,12.81875,17.1,0.23,0.73
19,1,2009,2009-08-02,5.5,22.2,11.758055555555554,3.8,12.263194444444444,15.4,0.35,1.6166666666666667
19,1,2009,2009-08-03,6.066666666666666,25.5,13.660069444444444,7.8,13.15625,15.4,0.37,1.7416666666666667
19,1,2009,2009-08-04,6.566666666666666,26.9,13.289374999999998,3.8,12.022916666666667,16.2,0.34,1.8716666666666668
19,1,2009,2009-08-05,5.333333333333333,22.0,10.607083333333334,3.0,10.972222222222221,15.1,0.29,1.5933333333333333
19,1,2009,2009-08-06,5.8,25.0,9.80201923076923,0.0,9.985576923076923,16.0,0.39,1.611666666666667
20,1,2009,2009-07-31,0.0,15.6,12.240000000000002,10.7,13.496969696969696,13.9,0.0,0.0
20,1,2009,2009-08-01,1.6,20.4,13.001805555555555,9.5,12.81875,17.1,0.23,0.73
20,1,2009,2009-08-02,6.0,23.1,12.732916666666668,4.5,12.263194444444444,15.4,0.35,1.6166666666666667
20,1,2009,2009-08-03,6.666666666666667,24.9,14.030902777777778,8.1,13.15625,15.4,0.37,1.7416666666666667
20,1,2009,2009-08-04,6.433333333333334,24.4,13.437708333333333,4.3,12.022916666666667,16.2,0.34,1.8716666666666668
20,1,2009,2009-08-05,6.633333333333334,24.4,12.254930555555557,4.7,10.972222222222221,15.1,0.29,1.5933333333333333
20,1,2009,2009-08-06,6.666666666666667,26.1,10.667083333333334,1.3,10.315277777777778,16.0,0.39,1.6166666666666667
20,1,2009,2009-08-07,6.8,30.9,13.40595703125,1.6,9.919335937499998,16.2,0.36,2.069
21,1,2009,2009-06-17,0.0,13.3,8.017777777777779,4.8,7.925925925925926,11.6,0.1,0.08500000000000002
21,1,2009,2009-06-18,0.0,13.3,7.712569444444443,4.4,8.2375,12.0,0.28,1.595
21,1,2009,2009-06-19,0.0,17.5,8.576180555555556,0.5,8.88888888888889,14.5,0.32,1.3266666666666667
21,1,2009,2009-06-20,0.0,14.0,9.285277777777777,3.9,11.216666666666667,13.6,0.27,1.4716666666666667
21,1,2009,2009-06-21,0.0,13.7,6.919930555555556,0.2,8.074305555555556,12.6,0.27,1.535
21,1,2009,2009-06-22,0.0,14.0,7.2039583333333335,0.5,8.056944444444444,13.2,0.31,1.1416666666666668
21,1,2009,2009-06-23,0.0,14.4,6.9259722222222235,0.5,7.069444444444445,12.5,0.27,1.5666666666666667
21,1,2009,2009-06-24,0.7333333333333333,18.9,10.454748603351955,5.6,8.864804469273745,13.5,0.25,0.9016666666666666
22,1,2009,2009-08-11,0.0,14.8,12.737562189054726,11.5,12.501990049751244,13.5,0.02,0.004
22,1,2009,2009-08-12,4.9,19.7,13.878541666666665,9.4,13.841666666666667,16.3,0.3,1.311666666666667
22,1,2009,2009-08-13,3.433333333333333,19.5,14.398472222222225,11.3,14.329166666666667,16.0,0.35,1.155
22,1,2009,2009-08-14,0.0,15.0,13.769097222222221,12.3,14.520138888888889,16.0,0.13,0.415
22,1,2009,2009-08-15,4.3,20.0,15.814305555555555,14.1,15.61736111111111,17.6,0.36,1.07
22,1,2009,2009-08-16,0.2,18.1,13.511597222222223,11.7,14.086805555555555,16.1,0.4,1.195
22,1,2009,2009-08-17,2.533333333333333,19.0,14.258958333333334,11.4,14.356944444444444,16.4,0.36,2.091666666666667
22,1,2009,2009-08-18,3.4,19.8,13.94430641821946,9.6,14.084679089026915,16.9,0.35,1.6043333333333332
23,1,2009,2009-08-12,0.0,17.5,14.542619047619047,13.2,13.814285714285715,15.5,0.04,0.018333333333333333
23,1,2009,2009-08-13,6.366666666666666,20.6,15.559375,12.5,14.329166666666667,16.0,0.35,1.155
23,1,2009,2009-08-14,0.0,17.7,15.652152777777777,13.8,14.520138888888889,16.0,0.13,0.415
23,1,2009,2009-08-15,11.433333333333334,22.5,18.30847222222222,16.3,15.61736111111111,17.6,0.36,1.07
23,1,2009,2009-08-16,3.8666666666666667,22.1,16.736666666666668,14.7,14.086805555555555,16.1,0.4,1.195
23,1,2009,2009-08-17,7.0,21.7,16.680416666666666,13.8,14.356944444444444,16.4,0.36,2.091666666666667
23,1,2009,2009-08-18,8.4,23.1,16.68916666666667,10.7,14.406944444444445,16.9,0.35,1.6533333333333333
23,1,2009,2009-08-19,8.1,24.5,18.046649484536086,14.2,14.777491408934708,16.9,0.4,1.7699999999999998
24,1,2009,2009-08-13,0.2,18.1,16.106764705882355,15.4,14.520588235294118,14.7,0.0,0.0
24,1,2009,2009-08-14,0.0,17.1,15.891388888888887,15.1,14.520138888888889,16.0,0.13,0.415
24,1,2009,2009-08-15,9.2,26.9,18.359583333333333,14.8,15.61736111111111,17.6,0.36,1.07
24,1,2009,2009-08-16,6.666666666666667,26.1,17.228194444444444,13.9,14.086805555555555,16.1,0.4,1.195
24,1,2009,2009-08-17,9.7,27.8,18.869583333333335,14.4,14.356944444444444,16.4,0.36,2.091666666666667
24,1,2009,2009-08-18,10.233333333333333,26.4,17.999236111111113,11.1,14.406944444444445,16.9,0.35,1.6533333333333333
24,1,2009,2009-08-19,9.433333333333334,30.5,19.205416666666668,13.4,14.115972222222222,16.9,0.4,1.77
24,1,2009,2009-08-20,7.633333333333334,25.9,17.117863894139887,13.2,12.733081285444234,16.0,0.25,1.1746666666666665
25,1,2009,2009-07-29,0.0,15.4,10.324102564102564,7.9,12.38974358974359,13.9,0.01,0.0016666666666666668
25,1,2009,2009-07-30,5.2,22.6,11.592430555555554,5.5,12.405555555555555,15.7,0.34,1.361666666666667
25,1,2009,2009-07-31,4.933333333333334,25.4,12.04,2.3,12.520833333333334,16.2,0.29,1.325
25,1,2009,2009-08-01,1.6,21.4,12.973750000000003,7.4,12.81875,17.1,0.23,0.73
25,1,2009,2009-08-02,5.066666666666666,26.1,12.596805555555557,3.7,12.263194444444444,15.4,0.35,1.6166666666666667
25,1,2009,2009-08-03,6.0,25.4,13.661944444444446,7.7,13.15625,15.4,0.37,1.7416666666666667
25,1,2009,2009-08-04,6.9,27.9,13.839930555555556,3.1,12.022916666666667,16.2,0.34,1.8716666666666668
25,1,2009,2009-08-05,5.833333333333333,21.6,12.328557692307694,3.5,11.678846153846154,15.1,0.29,1.5883333333333334
26,1,2009,2009-08-24,0.0,17.3,15.156363636363634,14.3,14.161363636363637,15.5,0.05,0.030000000000000002
26,1,2009,2009-08-25,6.5,22.9,15.978263888888886,12.2,14.385416666666666,17.4,0.2,0.8883333333333334
26,1,2009,2009-08-26,9.066666666666666,28.9,18.306597222222223,12.3,15.36736111111111,17.8,0.46,2.166666666666667
26,1,2009,2009-08-27,8.5,24.6,17.41472222222222,13.2,15.605555555555556,17.2,0.39,2.431666666666666
26,1,2009,2009-08-28,9.566666666666666,30.5,19.055555555555557,13.2,15.54513888888889,18.6,0.4,2.5966666666666667
26,1,2009,2009-08-29,9.3,30.4,18.208541666666665,12.7,15.16875,18.7,0.36,1.3416666666666666
26,1,2009,2009-08-30,13.466666666666667,28.1,19.513333333333335,15.8,16.425694444444446,20.4,0.4,1.4
26,1,2009,2009-08-31,7.866666666666666,26.2,18.36399253731343,13.5,15.148507462686567,16.3,0.44,2.277
27,1,2009,2009-08-25,0.0,15.85,14.538148148148148,13.5,12.311111111111112,13.2,0.0,0.0
27,1,2009,2009-08-26,8.8,30.6,18.363194444444446,12.4,15.36736111111111,17.8,0.46,2.166666666666667
27,1,2009,2009-08-27,8.866666666666667,28.7,18.000833333333333,12.8,15.605555555555556,17.2,0.39,2.431666666666666
27,1,2009,2009-08-28,9.466666666666667,30.8,18.61451388888889,9.9,15.54513888888889,18.6,0.4,2.5966666666666667
27,1,2009,2009-08-29,8.733333333333333,29.9,16.777222222222225,9.9,15.16875,18.7,0.36,1.3416666666666666
27,1,2009,2009-08-30,9.933333333333334,26.4,18.64534722222222,15.6,16.425694444444446,20.4,0.4,1.4
27,1,2009,2009-08-31,7.766666666666667,26.7,16.421180555555555,7.9,14.638194444444444,16.3,0.44,2.2783333333333333
27,1,2009,2009-09-01,8.0,25.3,13.886787072243347,3.8,12.963307984790875,17.3,0.44,2.283
