house_num,week,year,house_group,recording_status,overall_mean,overall_std,overall_median,overall_is_normal,daytime_mean,daytime_std,daytime_median,daytime_is_normal,daytime_hours,nighttime_mean,nighttime_std,nighttime_median,nighttime_is_normal,nighttime_hours
1,1,2008,active,control,12.165793339862882,1.252646605937935,12.2,False,12.978169014084507,1.2190706957043846,13.2,False,47.333333333333336,11.73277027027027,1.0365547724297384,11.8,False,88.8
2,1,2008,active,control,11.836947871070434,1.542726718324178,12.0,False,12.644080996884735,1.3639072069903628,12.9,False,64.2,11.335483870967742,1.430806673211423,11.5,False,103.33333333333333
3,1,2008,active,control,11.634465434083602,1.578258004018091,11.6,False,12.53717549325026,1.3981394380200993,12.8,False,64.2,11.064426229508197,1.4108107926951288,11.1,False,101.66666666666667
4,1,2008,active,control,11.24326750448833,1.6480989361707383,11.3,False,12.278058645096056,1.4333317591592154,12.5,False,65.93333333333334,10.568863261943987,1.4125470781327025,10.8,False,101.16666666666667
5,1,2008,control,control,11.208292587522003,1.6739727419127455,11.2,False,12.308111954459203,1.4390201416246071,12.5,False,70.26666666666667,10.436772046589018,1.3681616891801631,10.6,False,100.16666666666667
6,1,2008,active,control,9.174224244931734,1.8289365674361282,9.0,False,10.484873949579832,1.597706640982627,10.7,False,63.46666666666667,8.322525597269625,1.4207905260359128,8.3,False,97.66666666666667
7,1,2008,control,control,9.106228231919689,1.9039599943787153,9.0,False,10.467275494672755,1.571070841347125,10.6,False,65.7,8.184364261168385,1.5180407681499424,8.2,False,97.0
8,1,2008,active,control,8.777711015736767,1.8483143891985014,8.9,False,10.136690140845069,1.4124430535801242,10.3,False,47.333333333333336,7.847710843373494,1.503511900825474,8.0,False,69.16666666666667
9,1,2008,active,control,9.338859790491538,1.9969134931630725,9.3,False,10.614459591041868,1.5655603862557264,10.7,False,68.46666666666667,8.438487972508591,1.7645617063442138,8.4,False,97.0
10,1,2008,active,control,9.33529003928819,2.0688172715694204,9.4,False,10.5978884677856,1.5965906534021408,10.7,False,61.56666666666667,8.394959677419354,1.8703852174417828,8.4,False,82.66666666666667
11,1,2008,active,control,11.22821833161689,2.0197946107427844,11.5,False,12.260386473429952,1.8295876203986319,12.8,False,69.0,10.461041292639138,1.8011832577402682,11.2,False,92.83333333333333
12,1,2008,control,control,11.274052478134111,2.1783483208261587,11.5,False,12.400450225112557,1.9669936098675966,12.8,False,66.63333333333334,10.358739837398375,1.8945848747682603,11.2,False,82.0
13,1,2008,active,control,11.218641259320629,2.1184776228961337,11.4,False,12.356948493683188,1.9568268785064942,12.8,False,68.6,10.372924187725632,1.8167064395485262,11.0,False,92.33333333333333
14,1,2008,active,control,11.369452390682468,2.3231823426281744,11.5,False,12.682099343955013,2.1327900366274037,13.1,False,71.13333333333334,10.354528985507246,1.9214215043041194,11.0,False,92.0
15,1,2008,active,control,11.792092337917484,2.101377200634581,11.9,False,13.199414176918571,1.8463708286568434,13.6,False,56.9,10.776321353065539,1.6376200690627705,11.2,False,78.83333333333333
16,1,2008,control,control,11.363825363825363,2.337058738269756,11.6,False,12.823294117647059,2.0007174962028684,13.3,False,70.83333333333333,10.20875232774674,1.8966638999676169,10.3,False,89.5
17,1,2008,control,control,11.507111846185653,2.4177253899707436,11.7,False,13.103569772832639,2.0387869852941978,13.4,False,71.9,10.222201492537314,1.8716195368259552,10.3,False,89.33333333333333
18,1,2008,active,control,11.44311111111111,2.481460865631354,11.4,False,13.15719298245614,2.058393068645894,13.5,False,76.0,9.97940074906367,1.7739388768227256,10.1,False,89.0
19,1,2008,active,control,11.314413663820037,2.467545278817242,11.1,False,13.026156001868285,2.1383934995294047,13.4,False,71.36666666666666,9.936654135338346,1.7472889032432382,10.0,False,88.66666666666667
20,1,2008,active,control,11.386917906865099,2.524232474645752,11.2,False,13.086602870813396,2.1819499370615305,13.4,False,62.7,9.987746170678337,1.8337725955090067,10.1,False,76.16666666666667
21,1,2008,control,control,12.16201646090535,3.1660503660704093,13.1,False,13.910400000000001,2.174431705398135,14.3,False,75.0,10.654789272030651,3.111894682409979,12.2,False,87.0
22,1,2008,active,control,11.711536126290223,3.0435982607157395,12.8,False,13.374126172208014,2.115222465947507,13.9,False,78.2,10.208477842003854,2.972653145943772,10.6,False,86.5
23,1,2008,control,control,11.307943439384488,2.8822227712807726,12.0,False,12.979679144385027,2.0615272257345816,13.4,False,74.8,9.84541910331384,2.6970515098000627,10.3,False,85.5
24,1,2008,active,control,11.47186771252915,2.664460635125802,12.0,False,12.958182661103384,1.8968223691743387,13.2,False,71.9,10.21953125,2.5731443943262033,10.8,False,85.33333333333333
25,1,2008,control,control,12.15711410746629,2.393119961771528,12.7,False,13.309942004971003,1.7948285743275967,13.4,False,80.46666666666667,11.067906066536203,2.3777196271789887,11.6,False,85.16666666666667
26,1,2008,active,control,12.95392022008253,0.9233027966124971,12.7,False,13.408719346049047,0.8967032790978999,13.8,False,12.233333333333333,12.490277777777777,0.6907990049522066,12.4,False,12.0
27,1,2008,active,control,12.400209161263334,2.0978709964506135,12.5,False,13.57540494458653,1.9180270230395267,13.5,False,78.2,11.267967145790555,1.5764027986643114,11.2,False,81.16666666666667
28,1,2008,control,control,13.041548183254344,2.506893449349636,13.2,False,14.461311102690411,2.2350200403096063,14.7,False,87.96666666666667,11.496494845360825,1.7627915584264047,11.3,False,80.83333333333333
29,1,2008,active,control,13.514572864321607,2.289221076455621,13.5,False,14.779707652622527,2.1257643484247932,15.1,False,77.53333333333333,12.313469387755102,1.7217361771008368,12.5,False,81.66666666666667
30,1,2008,control,control,13.642884091385456,2.166162781993259,13.6,False,14.781533248623466,2.098612823687532,15.1,False,78.7,12.527385892116182,1.5687235375305288,12.5,False,80.33333333333333
1,2,2008,active,active,9.445772058823529,2.9445384939083055,10.0,False,10.871794871794872,2.6598616016814374,11.4,False,63.7,8.532830820770519,2.7492493844935626,9.3,False,99.5
2,2,2008,active,active,9.432199329180643,3.126665859754149,10.2,False,10.602244389027431,2.794124474395362,11.1,False,53.46666666666667,8.701945525291828,3.1016382286134525,10.1,False,85.66666666666667
3,2,2008,active,active,13.033333333333335,0.3778793362871182,13.1,False,13.033333333333335,0.3778793362871182,13.1,False,2.5,,,,,
4,2,2008,active,active,9.45141242937853,2.9825845026483004,10.0,False,10.704577822990844,2.67642224440152,11.1,False,65.53333333333333,8.627424749163879,2.8854250771305567,8.9,False,99.66666666666667
5,2,2008,control,control,9.317066878348879,2.8638945633456374,9.6,False,10.53432979749277,2.4482995386944584,11.0,False,69.13333333333334,8.465598650927488,2.826069779555798,8.7,False,98.83333333333333
6,2,2008,active,active,11.064285714285715,0.5378528742004772,11.1,False,11.064285714285715,0.5378528742004772,11.1,False,2.3333333333333335,,,,,
7,2,2008,control,control,11.603014573767219,1.6732809403738973,11.6,False,12.735169491525424,1.543265624890893,12.8,False,70.8,10.769497400346621,1.2123119799643507,11.0,False,96.16666666666667
8,2,2008,active,active,11.654437869822484,0.4968098323116224,11.8,False,12.056944444444445,0.22506736950027106,12.0,False,2.4,11.545488721804512,0.494343805448728,11.7,False,8.866666666666667
9,2,2008,active,active,11.798898237179486,1.8597253100586841,11.9,False,13.038218661639963,1.6629686177273366,13.2,False,70.73333333333333,10.882578397212544,1.4128855941960514,11.2,False,95.66666666666667
10,2,2008,active,active,12.988,0.6343671031994186,12.7,False,12.988,0.6343671031994186,12.7,False,2.5,,,,,
11,2,2008,active,active,11.658655462184873,2.637473153298085,12.4,False,13.008570029382957,1.932876553466014,13.2,False,68.06666666666666,10.64448123620309,2.6418527907572815,11.2,False,90.6
