location,period,metric,week,year,active_mean,active_std,active_median,active_n,control_mean,control_std,control_median,control_n,mean_difference,active_normal,control_normal,equal_variance,test_type,t_statistic,p_value,df,mean_diff,ci_lower,ci_upper,cohen_d,group1_mean,group2_mean,group1_std,group2_std,group1_n,group2_n,significant,significance_level,u_statistic,median_diff,effect_size,group1_median,group2_median
living,overall,rh,1,2008,63.97290052100963,5.621845358295864,65.02022315343227,20,63.98949026345709,6.023694329024329,64.38921317627347,10,-0.016589742447465028,True,True,True,Independent t-test,-0.0074442112145834205,0.9941132202439531,28.0,-0.016589742447465028,-4.69160353255088,4.6584240476559495,-0.002883130605973207,63.97290052100963,63.98949026345709,5.621845358295864,6.023694329024329,20,10,False,ns,,,,,
living,overall,hr,1,2008,8.123246199082637,0.9319364592566454,8.197458847407892,20,7.958676969894393,0.6434164561231434,7.957260898835225,10,0.16456922918824368,True,True,True,Independent t-test,0.49993236813213004,0.6210290597618708,28.0,0.16456922918824368,-0.4320194667494379,0.7611579251259253,0.19362297360057754,8.123246199082637,7.958676969894393,0.9319364592566454,0.6434164561231434,20,10,False,ns,,,,,
living,day,rh,1,2008,62.787945456374224,6.053638519642291,63.921558793963925,20,62.46129142698933,6.305166590535534,61.72257135195601,10,0.3266540293848976,True,True,True,Independent t-test,0.13746259596558935,0.8916488946986011,28.0,0.3266540293848976,-4.609896490518761,5.263204549288556,0.053239034490116646,62.787945456374224,62.46129142698933,6.053638519642291,6.305166590535534,20,10,False,ns,,,,,
living,day,hr,1,2008,8.145177325494714,0.9994871447656012,8.280424306373575,20,8.019334334538792,0.6731179698100468,8.083212205750232,10,0.12584299095592222,True,True,True,Independent t-test,0.35805415027957443,0.7229880617535092,28.0,0.12584299095592222,-0.506373600133701,0.7580595820455455,0.13867377610732395,8.145177325494714,8.019334334538792,0.9994871447656012,0.6731179698100468,20,10,False,ns,,,,,
living,night,rh,1,2008,65.53867301318286,5.910831302434065,65.31998112517985,20,65.31544134501794,5.872694039106594,66.11218603806151,10,0.2232316681649138,True,True,True,Independent t-test,0.09771500179340609,0.9228547415869588,28.0,0.2232316681649138,-4.445945989322008,4.892409325651836,0.03784485746204897,65.53867301318286,65.31544134501794,5.910831302434065,5.872694039106594,20,10,False,ns,,,,,
living,night,hr,1,2008,8.162712048089555,0.9274579988543112,8.14065448634745,20,7.905481510748085,0.631975031887401,7.861277633377268,10,0.25723053734146983,True,True,True,Independent t-test,0.7870747533805939,0.43784987881154114,28.0,0.25723053734146983,-0.33272551718400223,0.8471865918669419,0.304832741206335,8.162712048089555,7.905481510748085,0.9274579988543112,0.631975031887401,20,10,False,ns,,,,,
bedroom,overall,rh,1,2008,67.34837516754648,5.88470449275631,68.38610856510653,20,65.67246765145775,7.031267780622202,63.33056659718453,10,1.6759075160887278,True,True,True,Independent t-test,0.6894656958517901,0.49620489339050067,28.0,1.6759075160887278,-3.616504266355977,6.968319298533433,0.2670289157815291,67.34837516754648,65.67246765145775,5.88470449275631,7.031267780622202,20,10,False,ns,,,,,
bedroom,overall,hr,1,2008,8.246860880835024,0.7127670734862493,8.325049989629129,20,8.193122261199871,0.5992628217043167,8.406126052570052,10,0.05373861963515303,True,True,True,Independent t-test,0.204541759517085,0.839409724194014,28.0,0.05373861963515303,-0.4534787479173873,0.5609559871876934,0.07921868282136328,8.246860880835024,8.193122261199871,0.7127670734862493,0.5992628217043167,20,10,False,ns,,,,,
bedroom,day,rh,1,2008,65.81207708475817,6.210706824177586,66.54138950101643,20,63.385458708607416,7.473583836539871,61.481700599603236,10,2.4266183761507563,True,True,True,Independent t-test,0.9431925167604925,0.3536502197227771,28.0,2.4266183761507563,-3.188442423147216,8.041679175448728,0.36529689096808476,65.81207708475817,63.385458708607416,6.210706824177586,7.473583836539871,20,10,False,ns,,,,,
bedroom,day,hr,1,2008,8.147667032751855,0.7803770583370662,8.211580690142387,20,8.103966781012906,0.6036024676326124,8.156060883677654,10,0.04370025173894909,True,True,True,Independent t-test,0.1549376594477738,0.8779819607927809,28.0,0.04370025173894909,-0.4860536832281547,0.5734541867060529,0.06000709747415841,8.147667032751855,8.103966781012906,0.7803770583370662,0.6036024676326124,20,10,False,ns,,,,,
bedroom,night,rh,1,2008,68.95200838027132,6.239189271390732,69.1169690758174,20,67.6143125922193,6.6761655126186055,64.73544446344141,10,1.3376957880520166,True,True,True,Independent t-test,0.5411193468962258,0.5927048822737284,28.0,1.3376957880520166,-3.8458237739525885,6.521215350056622,0.2095746218839717,68.95200838027132,67.6143125922193,6.239189271390732,6.6761655126186055,20,10,False,ns,,,,,
bedroom,night,hr,1,2008,8.358737204754728,0.7156318457033946,8.420184364067605,20,8.269515261205402,0.6222311902936031,8.505397874551992,10,0.089221943549326,True,True,True,Independent t-test,0.33532935110809714,0.7398761546638031,28.0,0.089221943549326,-0.43029712700961587,0.6087410141082679,0.12987249923362,8.358737204754728,8.269515261205402,0.7156318457033946,0.6222311902936031,20,10,False,ns,,,,,
living,overall,rh,2,2008,60.10381086976717,5.9054447365383504,60.51687805724329,20,64.783208365831,5.909003186173726,66.2814223691073,10,-4.679397496063828,True,True,True,Independent t-test,-2.0455381062224536,0.05030034328543829,28.0,-4.679397496063828,-9.366332869506792,0.007537877379134805,-0.7922335019432223,60.10381086976717,64.783208365831,5.9054447365383504,5.909003186173726,20,10,False,ns,,,,,
