year,week,location,metric,active_mean,active_std,control_mean,control_std,difference,test_type,p_value,significant
2008,1,living,pct_below_12,1.1857593764471612,3.9919334897958523,1.1657698271718744,2.4940710337896057,0.019989549275286844,Mann-Whitney U,0.9290779188552696,False
2008,1,living,pct_18_to_24,45.25011978624894,19.890490392630408,45.693026187403945,23.640401659014422,-0.4429064011550068,t-test,0.9600397206024334,False
2008,1,living,pct_above_24,2.0948168184404268,6.019140087591683,0.03214142225793491,0.10164010157230628,2.0626753961824917,Mann-Whitney U,0.14173406115385462,False
2008,1,living,minutes_below_12,115.3,390.37217059998954,113.6,244.2690684015841,1.7000000000000028,Mann-Whitney U,0.9290779188552696,False
2008,1,living,minutes_in_who,4219.7,1826.9809753280208,4416.6,2272.3305804100482,-196.90000000000055,t-test,0.814939066405,False
2008,1,living,extreme_cold_events,0.35,0.9333020044867295,0.4,0.8432740427115679,-0.050000000000000044,Mann-Whitney U,0.9246779216277252,False
2008,1,bedroom,pct_below_12,0.5226243425744281,1.2100216070282053,0.6325895751892974,1.3286962423575028,-0.10996523261486923,Mann-Whitney U,0.6563016074204757,False
2008,1,bedroom,pct_18_to_24,34.876163879443475,24.817750149353554,44.45871403900651,27.71691339324153,-9.582550159563034,t-test,0.3690174435627056,False
2008,1,bedroom,pct_above_24,0.9165146793879074,3.4625662441219807,0.6596578025149453,2.086021132248776,0.2568568768729621,Mann-Whitney U,0.4131072052284184,False
2008,1,bedroom,minutes_below_12,50.4,119.0994277241101,61.4,128.93081693511274,-11.0,Mann-Whitney U,0.6563016074204757,False
2008,1,bedroom,minutes_in_who,3236.2,2283.4891031512557,4326.4,2726.5866002914504,-1090.1999999999998,t-test,0.2932298366047752,False
2008,1,bedroom,extreme_cold_events,0.35,0.9880869341680842,0.4,0.8432740427115679,-0.050000000000000044,Mann-Whitney U,0.7601914353710695,False
2008,2,living,pct_below_12,1.6393007654027971,2.3986302369906594,0.49123121555942617,0.9711570905071844,1.1480695498433708,Mann-Whitney U,0.274481105795518,False
2008,2,living,pct_18_to_24,50.952109280486894,18.16055179705012,55.39419355148821,26.52136695114174,-4.442084271001313,t-test,0.6412668235913432,False
2008,2,living,pct_above_24,3.029539561602868,5.74336709813122,0.4616272360069244,1.459793495749973,2.5679123255959437,Mann-Whitney U,0.08360137838699892,False
2008,2,living,minutes_below_12,163.5,241.83149853608924,47.8,95.89091024005698,115.7,Mann-Whitney U,0.27441304388203736,False
2008,2,living,minutes_in_who,5055.1,1884.2436399618925,5468.6,2698.551389171605,-413.5,t-test,0.6707797875093917,False
2008,2,living,extreme_cold_events,0.7,0.9233805168766387,0.3,0.4830458915396479,0.39999999999999997,Mann-Whitney U,0.3024273954587031,False
2008,2,bedroom,pct_below_12,0.8992031178188238,1.403880318131698,0.03962750148603131,0.12531316267756606,0.8595756163327924,Mann-Whitney U,0.11356008709548214,False
2008,2,bedroom,pct_18_to_24,44.68701289799902,22.25740280481144,53.95948230650147,28.35222290617021,-9.272469408502452,t-test,0.38041390809497755,False
2008,2,bedroom,pct_above_24,1.7124493431235013,3.29862652748446,0.3107569721115538,0.9826998306499345,1.4016923710119475,Mann-Whitney U,0.08360137838699892,False
2008,2,bedroom,minutes_below_12,88.7,140.03800236101327,4.0,12.649110640673518,84.7,Mann-Whitney U,0.11356008709548214,False
2008,2,bedroom,minutes_in_who,4463.9,2314.9800021871283,5299.8,2818.815582631984,-835.9000000000005,t-test,0.4298631074289647,False
2008,2,bedroom,extreme_cold_events,0.35,0.48936048492959283,0.0,0.0,0.35,Mann-Whitney U,0.03838551592742194,True
2009,1,living,pct_below_12,4.321805947936868,6.830607577222282,2.7121144948665075,3.2702652534426693,1.6096914530703605,Mann-Whitney U,0.852741371717215,False
2009,1,living,pct_18_to_24,40.78563279434057,22.354761986707604,36.99273227809963,25.977713352521654,3.792900516240941,t-test,0.6985148729851827,False
2009,1,living,pct_above_24,1.1760078501877018,2.324141115878931,1.5955815363442771,2.7101192147059763,-0.4195736861565753,Mann-Whitney U,0.9135684310674417,False
2009,1,living,minutes_below_12,437.7,693.9262132775242,272.0,326.4053376469883,165.7,Mann-Whitney U,0.8527233516901971,False
2009,1,living,minutes_in_who,4101.0,2259.397357936986,3728.6,2614.5325564790523,372.4000000000001,t-test,0.7058088196945621,False
2009,1,living,extreme_cold_events,1.6,2.370875920747214,1.4,1.837873166945363,0.20000000000000018,Mann-Whitney U,0.9441175093097576,False
2009,1,bedroom,pct_below_12,3.6723064939685193,5.411930078009608,2.2210013299020135,6.06113441768715,1.4513051640665058,Mann-Whitney U,0.2366748803567844,False
2009,1,bedroom,pct_18_to_24,33.36155366850972,24.257887741394516,33.568290969445805,29.859519100347832,-0.20673730093608356,t-test,0.9851010259027326,False
2009,1,bedroom,pct_above_24,0.7428900670194715,1.9553597309637194,0.09621912610305779,0.20343760471496455,0.6466709409164136,Mann-Whitney U,0.8255996282357794,False
2009,1,bedroom,minutes_below_12,372.3,552.0001048817597,221.4,602.2949074627442,150.9,Mann-Whitney U,0.22755119412111768,False
2009,1,bedroom,minutes_in_who,3372.0,2457.0081935471635,3388.2,3006.2307814123506,-16.199999999999818,t-test,0.9884200466659145,False
2009,1,bedroom,extreme_cold_events,1.3,1.6575187543592476,0.7,1.5670212364724208,0.6000000000000001,Mann-Whitney U,0.19438127303994168,False
2009,2,living,pct_below_12,10.608921791602098,15.028630973812426,9.805102574789741,8.724882187708365,0.8038192168123572,Mann-Whitney U,0.4894412976070627,False
